region_iso,sex,year,year_int,e0_deficit_pval
AT,Male,2020,2020,0
AT,Male,2021,2021,0
AT,Male,2022,2022,0.004
AT,Male,2023,2023,0.016
AT,Male,2024,2024,0.076
AT,Male,2020-2024,NA,0.004
AT,Female,2020,2020,0.012
AT,Female,2021,2021,0.012
AT,Female,2022,2022,0.048
AT,Female,2023,2023,0.268
AT,Female,2024,2024,0.256
AT,Female,2020-2024,NA,0.076
AT,Total,2020,2020,0
AT,Total,2021,2021,0
AT,Total,2022,2022,0
AT,Total,2023,2023,0.012
AT,Total,2024,2024,0.064
AT,Total,2020-2024,NA,0
BE,Male,2020,2020,0
BE,Male,2021,2021,0
BE,Male,2022,2022,0.024
BE,Male,2023,2023,0.132
BE,Male,2024,2024,0.124
BE,Male,2020-2024,NA,0.012
BE,Female,2020,2020,0
BE,Female,2021,2021,0.216
BE,Female,2022,2022,0.08
BE,Female,2023,2023,0.176
BE,Female,2024,2024,0.276
BE,Female,2020-2024,NA,0.048
BE,Total,2020,2020,0
BE,Total,2021,2021,0.012
BE,Total,2022,2022,0.008
BE,Total,2023,2023,0.08
BE,Total,2024,2024,0.108
BE,Total,2020-2024,NA,0
BG,Male,2020,2020,0
BG,Male,2021,2021,0
BG,Male,2022,2022,0
BG,Male,2023,2023,1
BG,Male,2024,2024,1
BG,Male,2020-2024,NA,0
BG,Female,2020,2020,0
BG,Female,2021,2021,0
BG,Female,2022,2022,0.008
BG,Female,2023,2023,1
BG,Female,2024,2024,1
BG,Female,2020-2024,NA,0
BG,Total,2020,2020,0
BG,Total,2021,2021,0
BG,Total,2022,2022,0
BG,Total,2023,2023,1
BG,Total,2024,2024,1
BG,Total,2020-2024,NA,0
CH,Male,2020,2020,0
CH,Male,2021,2021,0.02
CH,Male,2022,2022,0.02
CH,Male,2023,2023,0.172
CH,Male,2024,2024,0.212
CH,Male,2020-2024,NA,0.036
CH,Female,2020,2020,0.012
CH,Female,2021,2021,0.304
CH,Female,2022,2022,0.104
CH,Female,2023,2023,0.32
CH,Female,2024,2024,0.316
CH,Female,2020-2024,NA,0.152
CH,Total,2020,2020,0
CH,Total,2021,2021,0.052
CH,Total,2022,2022,0.012
CH,Total,2023,2023,0.164
CH,Total,2024,2024,0.176
CH,Total,2020-2024,NA,0.012
CL,Male,2020,2020,0
CL,Male,2021,2021,0
CL,Male,2022,2022,0
CL,Male,2023,2023,0.004
CL,Male,2024,2024,0.008
CL,Male,2020-2024,NA,0
CL,Female,2020,2020,0
CL,Female,2021,2021,0
CL,Female,2022,2022,0
CL,Female,2023,2023,0
CL,Female,2024,2024,0
CL,Female,2020-2024,NA,0
CL,Total,2020,2020,0
CL,Total,2021,2021,0
CL,Total,2022,2022,0
CL,Total,2023,2023,0
CL,Total,2024,2024,0
CL,Total,2020-2024,NA,0
CZ,Male,2020,2020,0
CZ,Male,2021,2021,0
CZ,Male,2022,2022,0.004
CZ,Male,2023,2023,0.42
CZ,Male,2024,2024,0.464
CZ,Male,2020-2024,NA,0
CZ,Female,2020,2020,0
CZ,Female,2021,2021,0
CZ,Female,2022,2022,0.06
CZ,Female,2023,2023,0.512
CZ,Female,2024,2024,1
CZ,Female,2020-2024,NA,0.048
CZ,Total,2020,2020,0
CZ,Total,2021,2021,0
CZ,Total,2022,2022,0.004
CZ,Total,2023,2023,0.464
CZ,Total,2024,2024,1
CZ,Total,2020-2024,NA,0
DE,Male,2020,2020,0.02
DE,Male,2021,2021,0
DE,Male,2022,2022,0
DE,Male,2023,2023,0.116
DE,Male,2024,2024,0.3
DE,Male,2020-2024,NA,0.02
DE,Female,2020,2020,0.22
DE,Female,2021,2021,0.112
DE,Female,2022,2022,0.032
DE,Female,2023,2023,0.216
DE,Female,2024,2024,0.328
DE,Female,2020-2024,NA,0.144
DE,Total,2020,2020,0.044
DE,Total,2021,2021,0.004
DE,Total,2022,2022,0
DE,Total,2023,2023,0.108
DE,Total,2024,2024,0.272
DE,Total,2020-2024,NA,0.008
DK,Male,2020,2020,0.352
DK,Male,2021,2021,0.08
DK,Male,2022,2022,0
DK,Male,2023,2023,0.032
DK,Male,2024,2024,0.168
DK,Male,2020-2024,NA,0.036
DK,Female,2020,2020,0.336
DK,Female,2021,2021,0.008
DK,Female,2022,2022,0
DK,Female,2023,2023,0.024
DK,Female,2024,2024,0.064
DK,Female,2020-2024,NA,0.016
DK,Total,2020,2020,0.272
DK,Total,2021,2021,0
DK,Total,2022,2022,0
DK,Total,2023,2023,0
DK,Total,2024,2024,0.044
DK,Total,2020-2024,NA,0
EE,Male,2020,2020,0.172
EE,Male,2021,2021,0
EE,Male,2022,2022,0.004
EE,Male,2023,2023,0.068
EE,Male,2024,2024,0.136
EE,Male,2020-2024,NA,0.012
EE,Female,2020,2020,0.144
EE,Female,2021,2021,0
EE,Female,2022,2022,0
EE,Female,2023,2023,0.06
EE,Female,2024,2024,0.152
EE,Female,2020-2024,NA,0
EE,Total,2020,2020,0.096
EE,Total,2021,2021,0
EE,Total,2022,2022,0.004
EE,Total,2023,2023,0.02
EE,Total,2024,2024,0.096
EE,Total,2020-2024,NA,0.004
ES,Male,2020,2020,0
ES,Male,2021,2021,0
ES,Male,2022,2022,0
ES,Male,2023,2023,0.156
ES,Male,2024,2024,0.212
ES,Male,2020-2024,NA,0.004
ES,Female,2020,2020,0
ES,Female,2021,2021,0.028
ES,Female,2022,2022,0.028
ES,Female,2023,2023,0.28
ES,Female,2024,2024,0.384
