region,sex,year,e0deficit_Q05,e0deficit_Q50,e0deficit_Q95,e0expected_Q50,e0observed
BE,Male,2020,-1.789693,-1.409046,-0.995967,80.319885,78.905635
BE,Male,2021,-1.418867,-0.869693,-0.314653,80.552239,79.683923
BE,Male,2022,-1.597112,-0.835489,-0.128026,80.777433,79.953955
BE,Male,2023,-1.242732,-0.432184,0.403206,81.042376,80.615436
BE,Male,2024,-1.440828,-0.548082,0.375607,81.316174,80.780433
BE,Male,2020-2024,-1.458661,-0.846788,-0.249731,80.803283,79.968483
BE,Female,2020,-1.4835,-1.095864,-0.726079,84.526936,83.434873
BE,Female,2021,-0.776637,-0.28797,0.235652,84.652638,84.367392
BE,Female,2022,-1.336504,-0.681099,-0.065146,84.766881,84.089444
BE,Female,2023,-0.992047,-0.240323,0.447548,84.969314,84.749447
BE,Female,2024,-0.990013,-0.267496,0.629529,85.122325,84.876443
BE,Female,2020-2024,-1.110818,-0.500288,-0.007542,84.795347,84.28539
BE,Total,2020,-1.556193,-1.275308,-0.99835,82.451458,81.176423
BE,Total,2021,-1.024276,-0.58839,-0.207053,82.631978,82.050558
BE,Total,2022,-1.301146,-0.782089,-0.243127,82.833177,82.047435
BE,Total,2023,-0.894266,-0.327065,0.266883,83.047461,82.721576
BE,Total,2024,-1.021256,-0.389911,0.286551,83.268534,82.859808
BE,Total,2020-2024,-1.137506,-0.694623,-0.237069,82.845044,82.155882
BG,Male,2020,-1.969606,-1.613948,-1.220974,72.025474,70.426403
BG,Male,2021,-4.594448,-3.952429,-3.399424,72.202228,68.234782
BG,Male,2022,-1.951356,-1.348549,-0.679661,72.364818,71.011852
BG,Male,2023,-0.690322,0.021763,0.72517,72.568933,72.575101
BG,Male,2024,-0.588003,0.170338,1.092064,72.759016,72.934735
BG,Male,2020-2024,-2.089941,-1.475167,-0.959202,72.366392,70.881039
BG,Female,2020,-1.639362,-1.227565,-0.803719,79.319598,78.081574
BG,Female,2021,-4.709423,-4.119715,-3.471303,79.530761,75.410288
BG,Female,2022,-2.061609,-1.390893,-0.737355,79.683068,78.307675
BG,Female,2023,-0.775721,0.022394,0.869068,79.931544,79.947385
BG,Female,2024,-1.026416,-0.174922,0.785247,80.105648,79.928773
BG,Female,2020-2024,-2.080755,-1.500826,-0.863916,79.715149,78.217835
BG,Total,2020,-1.814822,-1.512483,-1.129565,75.624983,74.120651
BG,Total,2021,-4.619037,-4.144856,-3.740147,75.808785,71.653535
BG,Total,2022,-1.955298,-1.393276,-0.92124,75.992398,74.570869
BG,Total,2023,-0.557493,0.049703,0.598181,76.179661,76.21468
BG,Total,2024,-0.61559,0.04945,0.718182,76.355898,76.400664
BG,Total,2020-2024,-1.992413,-1.522581,-1.083771,75.993313,74.453365
CH,Male,2020,-1.493712,-1.092892,-0.696871,82.595387,81.510252
CH,Male,2021,-1.200106,-0.599169,-0.109553,82.794856,82.195731
CH,Male,2022,-1.478995,-0.877231,-0.186043,83.068891,82.183196
CH,Male,2023,-1.153275,-0.516482,0.24491,83.270931,82.769627
CH,Male,2024,-0.814464,-0.052015,0.768614,83.537062,83.4395
CH,Male,2020-2024,-1.205634,-0.640862,-0.097785,83.062487,82.411481
CH,Female,2020,-0.856379,-0.556594,-0.155986,86.098098,85.541736
CH,Female,2021,-0.633195,-0.147595,0.349354,86.20886,86.045651
CH,Female,2022,-1.025686,-0.525033,0.138927,86.360455,85.839251
CH,Female,2023,-0.663128,-0.069118,0.642333,86.502024,86.448856
CH,Female,2024,-0.578303,0.131295,0.78403,86.595957,86.716743
CH,Female,2020-2024,-0.686759,-0.228786,0.268365,86.339178,86.11723
CH,Total,2020,-1.095458,-0.837014,-0.551841,84.404657,83.559105
CH,Total,2021,-0.766585,-0.411718,-0.038891,84.574982,84.164867
CH,Total,2022,-1.114557,-0.686082,-0.267298,84.728381,84.055285
CH,Total,2023,-0.708035,-0.291608,0.155452,84.946382,84.658142
CH,Total,2024,-0.475943,0.026445,0.544684,85.107254,85.132971
CH,Total,2020-2024,-0.78713,-0.453498,-0.087508,84.752753,84.309803
CZ,Male,2020,-1.739679,-1.33117,-0.895452,76.903428,75.564391
CZ,Male,2021,-3.190509,-2.671859,-2.061842,77.146477,74.490205
CZ,Male,2022,-1.484781,-0.864812,-0.124407,77.407219,76.53428
CZ,Male,2023,-0.910849,-0.191883,0.609544,77.559255,77.371813
CZ,Male,2024,-0.855703,-0.103735,0.765798,77.792604,77.702379
CZ,Male,2020-2024,-1.583233,-1.086623,-0.486999,77.369922,76.275215
CZ,Female,2020,-1.662707,-1.124273,-0.593132,82.665786,81.541278
CZ,Female,2021,-2.934132,-2.136674,-1.36195,82.869425,80.749608
CZ,Female,2022,-1.73164,-0.895873,0.093683,83.064173,82.179721
CZ,Female,2023,-1.217033,-0.221113,0.787073,83.196229,83.013298
CZ,Female,2024,-1.276459,-0.070972,1.10064,83.383981,83.31872
CZ,Female,2020-2024,-1.654988,-0.887088,-0.207858,83.008138,82.125612
CZ,Total,2020,-1.596545,-1.265407,-0.933882,79.802279,78.53295
CZ,Total,2021,-2.91808,-2.498459,-1.999104,80.059046,77.561291
CZ,Total,2022,-1.373883,-0.881499,-0.270049,80.249239,79.369136
CZ,Total,2023,-0.897392,-0.197467,0.472888,80.413181,80.214385
CZ,Total,2024,-0.842555,-0.065195,0.607782,80.597593,80.526248
CZ,Total,2020-2024,-1.499288,-1.030748,-0.544208,80.223399,79.197224
DE,Male,2020,-0.925722,-0.444973,0.057135,79.199583,78.753412
DE,Male,2021,-1.740311,-0.933731,-0.187824,79.39652,78.466138
DE,Male,2022,-1.919824,-1.098822,-0.196487,79.574878,78.46861
DE,Male,2023,-1.590829,-0.656448,0.334562,79.810745,79.147278
DE,Male,2024,-1.533118,-0.459204,0.802451,80.028119,79.578822
DE,Male,2020-2024,-1.497718,-0.693225,0.043762,79.580579,78.880418
DE,Female,2020,-0.841949,-0.314221,0.276867,83.744732,83.430929
DE,Female,2021,-1.234275,-0.583244,0.203361,83.888558,83.30836
DE,Female,2022,-1.690447,-0.830359,-0.001252,83.961971,83.142979
DE,Female,2023,-1.485612,-0.545198,0.534407,84.154466,83.608191
DE,Female,2024,-1.347461,-0.357058,0.867231,84.257313,83.912619
DE,Female,2020-2024,-1.271155,-0.519964,0.266538,84.00697,83.479927
DE,Total,2020,-0.784318,-0.404711,0.052419,81.498102,81.09235
DE,Total,2021,-1.332751,-0.763691,-0.192479,81.638663,80.876124
DE,Total,2022,-1.642772,-1.000945,-0.367819,81.799404,80.794397
DE,Total,2023,-1.330323,-0.582341,0.175677,81.963996,81.379041
DE,Total,2024,-1.244658,-0.368852,0.481985,82.121748,81.752942
DE,Total,2020-2024,-1.207585,-0.626526,-0.029054,81.807492,81.177716
DK,Male,2020,-0.314547,0.029181,0.438574,79.505716,79.540133
DK,Male,2021,-0.627418,-0.111568,0.388929,79.723265,79.597959
DK,Male,2022,-1.325069,-0.598478,-0.02982,79.900709,79.289913
DK,Male,2023,-0.972414,-0.179686,0.551564,80.089024,79.924196
DK,Male,2024,-0.427961,0.374666,1.246424,80.325601,80.703803
DK,Male,2020-2024,-0.65984,-0.096463,0.429981,79.90673,79.806157
DK,Female,2020,-0.447782,-0.107545,0.302367,83.839213,83.727515
DK,Female,2021,-0.899082,-0.387879,0.112327,84.01153,83.617938
DK,Female,2022,-1.332763,-0.74300600000000006,-0.150878,84.251527,83.498847
DK,Female,2023,-1.190774,-0.542167,0.08168,84.468115,83.921065
DK,Female,2024,-1.125983,-0.324941,0.383798,84.680619,84.360702
DK,Female,2020-2024,-0.942886,-0.407949,0.022831,84.236718,83.828039
DK,Total,2020,-0.292952,-0.02422,0.245059,81.655224,81.620538
DK,Total,2021,-0.606023,-0.26706,0.090955,81.866665,81.602075
DK,Total,2022,-1.140075,-0.700533,-0.293484,82.069835,81.368418
DK,Total,2023,-0.830293,-0.389743,0.143936,82.298407,81.913913
DK,Total,2024,-0.513492,0.068773,0.583991,82.487536,82.540725
DK,Total,2020-2024,-0.637047,-0.259416,0.082872,82.075581,81.810792
EE,Male,2020,-0.925544,-0.191071,0.494501,74.984702,74.774812
EE,Male,2021,-3.249484,-2.249191,-1.207024,75.381643,73.129475
EE,Male,2022,-2.657514,-1.56788,-0.456184,75.690286,74.105003
EE,Male,2023,-1.954648,-0.716747,0.628121,76.019746,75.283109
EE,Male,2024,-2.096871,-0.852307,0.718197,76.384057,75.525439
EE,Male,2020-2024,-2.014087,-1.142444,-0.159745,75.692287,74.529156
EE,Female,2020,-0.81804,-0.433602,-0.112525,83.474361,83.014381
EE,Female,2021,-2.353761,-1.8749,-1.442314,83.76305,81.886685
EE,Female,2022,-1.877212,-1.341504,-0.818727,84.025627,82.706193
EE,Female,2023,-1.398331,-0.921119,-0.327618,84.303961,83.385945
EE,Female,2024,-1.618993,-1.004798,-0.37143,84.568283,83.592528
EE,Female,2020-2024,-1.532423,-1.121854,-0.743758,84.012829,82.899497
EE,Total,2020,-0.764648,-0.344089,0.098425,79.461579,79.107642
EE,Total,2021,-2.779658,-2.153134,-1.512078,79.79335,77.628169
EE,Total,2022,-2.212454,-1.517161,-0.851035,80.073767,78.55605
EE,Total,2023,-1.535597,-0.819228,-0.061823,80.396966,79.54933
EE,Total,2024,-1.798282,-0.974353,-0.036642,80.677049,79.725361
EE,Total,2020-2024,-1.725283,-1.171106,-0.607922,80.062795,78.893333
ES,Male,2020,-1.806052,-1.46075,-1.064345,81.336766,79.870555
ES,Male,2021,-1.591314,-1.028152,-0.559376,81.525904,80.483544
ES,Male,2022,-1.647323,-1.074984,-0.45676,81.773382,80.698419
ES,Male,2023,-1.345419,-0.599821,0.116347,82.015227,81.421187
ES,Male,2024,-1.375921,-0.570326,0.269844,82.183561,81.631614
ES,Male,2020-2024,-1.512419,-0.950448,-0.405837,81.759016,80.80933
ES,Female,2020,-1.779223,-1.327837,-0.891651,86.562914,85.234538
ES,Female,2021,-1.303302,-0.794041,-0.154796,86.762983,85.982261
ES,Female,2022,-1.707689,-0.993211,-0.311074,86.883245,85.903561
ES,Female,2023,-1.295654,-0.507577,0.230484,87.027032,86.514115
ES,Female,2024,-1.306144,-0.411184,0.414614,87.190018,86.7666
ES,Female,2020-2024,-1.408495,-0.8296,-0.251467,86.891337,86.063233
ES,Total,2020,-1.707876,-1.43594,-1.126794,84.007028,82.567779
ES,Total,2021,-1.354484,-0.951547,-0.492766,84.203705,83.258122
ES,Total,2022,-1.542933,-1.061469,-0.557864,84.396867,83.334635
ES,Total,2023,-1.079319,-0.537071,0.045948,84.570521,84.019029
ES,Total,2024,-1.110479,-0.515901,0.132671,84.761032,84.250128
ES,Total,2020-2024,-1.329873,-0.92184,-0.459592,84.392479,83.471934
FI,Male,2020,-0.644802,-0.339007,-0.059325,79.85158,79.508978
FI,Male,2021,-0.954737,-0.569874,-0.204098,80.110542,79.526706
FI,Male,2022,-1.772495,-1.312177,-0.907952,80.34161,79.034747
FI,Male,2023,-1.801805,-1.231815,-0.723543,80.578947,79.35572
FI,Male,2024,-1.291687,-0.739382,-0.189397,80.847785,80.10953
FI,Male,2020-2024,-1.248069,-0.849458,-0.516334,80.346171,79.496827
FI,Female,2020,-0.347237,-0.077395,0.260433,85.136709,85.048221
FI,Female,2021,-1.006347,-0.56666,-0.167538,85.271243,84.714574
FI,Female,2022,-1.813003,-1.299208,-0.764529,85.465957,84.173755
FI,Female,2023,-1.650956,-1.020412,-0.473965,85.641643,84.6183
FI,Female,2024,-1.435338,-0.680263,-0.075334,85.815081,85.124637
FI,Female,2020-2024,-1.216369,-0.729201,-0.314956,85.4549,84.729008
FI,Total,2020,-0.430099,-0.220479,0.001297,82.515057,82.289748
FI,Total,2021,-0.879526,-0.57212,-0.319223,82.725646,82.132846
FI,Total,2022,-1.659327,-1.325979,-1.015551,82.945067,81.607847
FI,Total,2023,-1.527402,-1.167339,-0.773206,83.174415,81.999586
FI,Total,2024,-1.182352,-0.721853,-0.281479,83.356765,82.637587
FI,Total,2020-2024,-1.09702,-0.819446,-0.55308,82.948331,82.123703
GB-EAW,Male,2020,-1.320836,-0.957413,-0.639462,79.907298,78.954474
GB-EAW,Male,2021,-1.471455,-0.963719,-0.523678,80.02094,79.05917
GB-EAW,Male,2022,-1.185091,-0.537337,0.091757,80.103803,79.576084
GB-EAW,Male,2023,-1.337063,-0.584016,0.14004,80.19656,79.624671
GB-EAW,Male,2024,-0.975092,-0.071913,0.654981,80.23369,80.155231
GB-EAW,Male,2020-2024,-1.207673,-0.624548,-0.153429,80.102837,79.472192
GB-EAW,Female,2020,-1.779575,-1.138642,-0.538177,84.081339,82.956222
GB-EAW,Female,2021,-2.041481,-1.054821,-0.168276,84.169346,83.107812
GB-EAW,Female,2022,-2.163543,-0.861916,0.218944,84.271388,83.395313
GB-EAW,Female,2023,-2.244823,-0.838517,0.510307,84.357213,83.528922
GB-EAW,Female,2024,-1.900437,-0.478175,0.968397,84.474637,83.991875
GB-EAW,Female,2020-2024,-1.952485,-0.848561,0.055446,84.25156,83.395389
GB-EAW,Total,2020,-1.429749,-1.046101,-0.752745,82.005537,80.956454
GB-EAW,Total,2021,-1.602181,-1.008182,-0.548715,82.102547,81.089193
GB-EAW,Total,2022,-1.378129,-0.727936,-0.082064,82.221538,81.50058
GB-EAW,Total,2023,-1.41006,-0.733293,0.087654,82.323323,81.588244
GB-EAW,Total,2024,-1.083731,-0.287808,0.55879,82.378212,82.088609
GB-EAW,Total,2020-2024,-1.300801,-0.756541,-0.198537,82.194256,81.444187
HU,Male,2020,-1.307057,-0.924631,-0.463424,73.805916,72.880361
HU,Male,2021,-3.26253,-2.759247,-2.200035,74.061986,71.313507
HU,Male,2022,-1.624262,-1.025065,-0.334431,74.332535,73.2851
HU,Male,2023,-0.839624,-0.176731,0.61178,74.496303,74.329331
HU,Male,2024,-0.762224,-0.042698,0.809553,74.736325,74.684725
HU,Male,2020-2024,-1.487898,-1.033874,-0.449913,74.290109,73.250358
HU,Female,2020,-1.238101,-0.711257,-0.257742,80.172866,79.449919
HU,Female,2021,-2.809594,-2.171827,-1.464732,80.342162,78.19158
HU,Female,2022,-1.510447,-0.757452,0.102431,80.502211,79.750203
HU,Female,2023,-0.900746,0.010514,0.905297,80.606407,80.6095
HU,Female,2024,-1.058292,-0.018874,1.04578,80.758311,80.739484
HU,Female,2020-2024,-1.414199,-0.730446,-0.093132,80.446907,79.719773
HU,Total,2020,-1.161574,-0.841183,-0.518724,77.08701,76.24362
HU,Total,2021,-2.941393,-2.553295,-2.095588,77.329104,74.769547
HU,Total,2022,-1.411049,-0.922452,-0.367369,77.511027,76.59514
HU,Total,2023,-0.694091,-0.0952,0.503394,77.653748,77.567414
HU,Total,2024,-0.696972,-0.028001,0.603013,77.837505,77.817951
HU,Total,2020-2024,-1.326259,-0.919819,-0.478999,77.473586,76.557984
IS,Male,2020,-1.555883,-0.57836,0.412924,81.698298,81.114942
IS,Male,2021,-1.329408,-0.191884,1.054343,81.914091,81.697388
IS,Male,2022,-2.318831,-0.991545,0.425044,82.079506,81.071989
IS,Male,2023,-2.728157,-1.093827,0.393202,82.172191,81.065713
