region,sex,year,e0deficit_Q025,e0deficit_Q50,e0deficit_Q975,e0expected_Q50,e0observed
AT,Female,2020-2024,-1.129552,-0.506119,0.116642,84.494559,83.979652
BE,Female,2020-2024,-1.271591,-0.556828,0.10873,84.396152,83.837595
BG,Female,2020-2024,-1.925962,-1.240344,-0.520986,79.065245,77.818171
CH,Female,2020-2024,-1.081372,-0.372308,0.326561,85.961944,85.587066
CL,Female,2020-2024,-1.28516,-1.101097,-0.942922,82.970028,81.869454
CZ,Female,2020-2024,-1.523364,-0.711819,0.127518,82.596941,81.880071
DE,Female,2020-2024,-0.953126,-0.357322,0.283147,83.836587,83.478976
DK,Female,2020-2024,-0.985676,-0.489511,-0.049842,84.002725,83.517026
EE,Female,2020-2024,-1.188776,-0.780878,-0.359036,83.334977,82.551723
ES,Female,2020-2024,-1.437247,-0.687319,-0.004146,86.580183,85.886126
FI,Female,2020-2024,-1.140372,-0.701561,-0.345668,85.067788,84.361966
FR,Female,2020-2024,-1.100782,-0.466601,0.103581,85.8749,85.405924
GB-EAW,Female,2020-2024,-1.453321,-0.698748,-0.059273,83.763678,83.062116
GB-NIR,Female,2020-2024,-1.072224,-0.573639,0.0538,83.043065,82.469847
GB-SCT,Female,2020-2024,-0.891818,-0.559265,-0.156467,81.421812,80.852677
GR,Female,2020-2024,-1.056291,-0.697562,-0.37777,84.364635,83.664756
HR,Female,2020-2024,-1.917327,-0.883256,0.143205,82.094856,81.216523
HU,Female,2020-2024,-1.566929,-0.767432,0.085072,80.077441,79.311833
IL,Female,2020-2024,-0.903898,-0.605443,-0.250691,85.028155,84.426898
IS,Female,2020-2024,-0.476,-0.206164,0.107666,84.307599,84.084032
IT,Female,2020-2024,-1.726396,-0.563415,0.674635,85.582676,85.00788
JP,Female,2020-2024,-1.043681,-0.560826,-0.090916,87.96292,87.399849
LT,Female,2020-2024,-1.926441,-1.239528,-0.611256,81.659912,80.420821
LU,Female,2020-2024,-1.660336,-0.294798,1.122548,85.158834,84.874951
LV,Female,2020-2024,-1.680596,-0.969903,-0.120024,80.732493,79.768115
NL,Female,2020-2024,-0.888059,-0.605761,-0.299973,83.790279,83.182574
NO,Female,2020-2024,-0.831573,-0.489897,-0.159663,85.161549,84.673952
PL,Female,2020-2024,-1.399817,-0.944506,-0.441476,82.080918,81.132141
PT,Female,2020-2024,-1.456329,-0.738295,-0.123103,85.403592,84.661576
SE,Female,2020-2024,-0.873614,-0.29998,0.211748,85.143985,84.842754
SI,Female,2020-2024,-1.177606,-0.650518,-0.058364,84.673866,84.014793
SK,Female,2020-2024,-1.877884,-1.126022,-0.351181,81.414219,80.300129
TW,Female,2020-2024,-1.084798,-0.656692,-0.04249,84.461683,83.797947
US,Female,2020-2024,-1.097528,-1.02513,-0.951134,81.510132,80.484065
