region,sex,year,e0deficit_Q025,e0deficit_Q50,e0deficit_Q975,e0expected_Q50,e0observed
AT,Male,2020-2024,-1.5520370000000001,-0.955957,-0.402279,80.186824,79.233265
BE,Male,2020-2024,-1.351957,-0.782437,-0.242822,80.244669,79.461755
BG,Male,2020-2024,-1.977631,-1.430493,-0.892312,72.051772,70.621759
CH,Male,2020-2024,-1.439779,-0.791375,-0.172102,82.575186,81.777929
CL,Male,2020-2024,-1.884022,-1.249732,-0.698878,77.819064,76.563011
CZ,Male,2020-2024,-1.501571,-1.109172,-0.617978,76.977671,75.866082
DE,Male,2020-2024,-1.283145,-0.749565,-0.231574,79.477458,78.726415
DK,Male,2020-2024,-0.875778,-0.381084,0.039321,80.090365,79.701572
EE,Male,2020-2024,-2.471722,-1.420651,-0.091535,75.436927,74.03596
ES,Male,2020-2024,-1.596756,-0.96502,-0.391516,81.421845,80.454283
FI,Male,2020-2024,-1.16632,-0.804286,-0.471741,79.876425,79.070206
FR,Male,2020-2024,-1.502727,-0.834317,-0.223048,80.424823,79.595557
GB-EAW,Male,2020-2024,-1.404414,-0.981369,-0.618301,80.090901,79.106119
GB-NIR,Male,2020-2024,-1.923322,-1.152651,-0.439186,79.742116,78.576251
GB-SCT,Male,2020-2024,-0.8245,-0.583357,-0.279771,77.536994000000007,76.956928
GR,Male,2020-2024,-1.739299,-0.981668,-0.269705,79.433134,78.444328
HR,Male,2020-2024,-1.60084,-0.843201,-0.053172,76.091653,75.230862
HU,Male,2020-2024,-1.483549,-1.075191,-0.558159,73.758754,72.691217
IL,Male,2020-2024,-1.660991,-1.088969,-0.545601,81.293131,80.200987
IS,Male,2020-2024,-1.918701,-0.662924,0.603591,81.742863,81.053958
IT,Male,2020-2024,-1.606063,-0.905079,-0.004381,81.619755,80.718135
JP,Male,2020-2024,-0.928678,-0.607001,-0.245686,81.869238,81.259661
LT,Male,2020-2024,-2.143657,-0.766844,0.593105,72.183475,71.404174
LU,Male,2020-2024,-1.752064,-0.564014,0.755718,80.976365,80.453545
LV,Male,2020-2024,-2.722762,-1.798668,-0.61075,71.778904,69.969232
NL,Male,2020-2024,-1.613554,-1.165687,-0.685555,81.240376,80.076427
NO,Male,2020-2024,-0.945802,-0.612249,-0.192248,81.98852,81.379111
PL,Male,2020-2024,-1.896116,-1.242087,-0.572473,74.636867,73.400638
PT,Male,2020-2024,-1.444877,-0.818589,-0.146418,79.773058,78.948778
SE,Male,2020-2024,-0.882656,-0.466123,-0.094506,81.882731,81.417672
SI,Male,2020-2024,-1.643379,-0.772388,0.008255,79.379997,78.590416
SK,Male,2020-2024,-1.97759,-1.367101,-0.752954,74.846582,73.490078
TW,Male,2020-2024,-1.353102,-0.704001,0.058076,78.004703,77.300289
US,Male,2020-2024,-2.288001,-1.967541,-1.647001,77.077439,75.107727
