region,sex,year,e0deficit_Q025,e0deficit_Q50,e0deficit_Q975,e0expected_Q50,e0observed
AT,Total,2020-2024,-1.273381,-0.814162,-0.379059,82.441204,81.624262
BE,Total,2020-2024,-1.144874,-0.6964,-0.2555,82.371445,81.673715
BG,Total,2020-2024,-1.943363,-1.502745,-1.039482,75.623804,74.124538
CH,Total,2020-2024,-1.057382,-0.627942,-0.249741,84.351857,83.720451
CL,Total,2020-2024,-1.536261,-1.190696,-0.887352,80.354596,79.16193
CZ,Total,2020-2024,-1.425701,-1.025201,-0.576728,79.87626,78.856321
DE,Total,2020-2024,-1.079932,-0.664657,-0.251637,81.760942,81.094537
DK,Total,2020-2024,-0.728012,-0.434778,-0.143301,82.043648,81.608348
EE,Total,2020-2024,-1.892086,-1.223762,-0.593123,79.679781,78.461075
ES,Total,2020-2024,-1.405569,-0.943735,-0.420183,84.138627,83.198461
FI,Total,2020-2024,-1.070793,-0.758761,-0.502025,82.479998,81.715673
FR,Total,2020-2024,-1.318871,-0.760414,-0.201352,83.312664,82.55399
GB-EAW,Total,2020-2024,-1.307465,-0.864068,-0.442769,81.955368000000007,81.091288
GB-NIR,Total,2020-2024,-1.47056,-0.993567,-0.579873,81.547152,80.541936
GB-SCT,Total,2020-2024,-0.776532,-0.573154,-0.34936,79.49745,78.923883
GR,Total,2020-2024,-1.434967,-0.960581,-0.488094,82.011851,81.047534
HR,Total,2020-2024,-1.412454,-0.842102,-0.3235,79.093601,78.244845
HU,Total,2020-2024,-1.361931,-0.970606,-0.511376,77.022901,76.058465
IL,Total,2020-2024,-1.305078,-0.927912,-0.562498,83.269291,82.345332
IS,Total,2020-2024,-1.521827,-0.631743,0.288749,83.176518,82.532865
IT,Total,2020-2024,-1.456328,-0.760767,-0.034068,83.673635,82.909626
JP,Total,2020-2024,-0.815441,-0.563761,-0.326973,84.913237,84.352583
LT,Total,2020-2024,-1.838688,-0.963408,-0.096517,76.973526,76.011499
LU,Total,2020-2024,-1.365286,-0.449358,0.593698,83.110591,82.653913
LV,Total,2020-2024,-2.161079,-1.463892,-0.603664,76.434389,74.952825
NL,Total,2020-2024,-1.334996,-1.001499,-0.689755,82.653657,81.651444
NO,Total,2020-2024,-0.854766,-0.561231,-0.264209,83.585877,83.033138
PL,Total,2020-2024,-1.712406,-1.226841,-0.77028,78.469347,77.242092
PT,Total,2020-2024,-1.386685,-0.878811,-0.36335,82.756911,81.87058
SE,Total,2020-2024,-0.741231,-0.422494,-0.101429,83.555462,83.12872
SI,Total,2020-2024,-1.343267,-0.801584,-0.258349,82.084756,81.284278
SK,Total,2020-2024,-1.703769,-1.288814,-0.88823,78.191905,76.9017
TW,Total,2020-2024,-1.165133,-0.742963,-0.27047,81.193713,80.458992
US,Total,2020-2024,-1.970466,-1.724201,-1.529572,79.437651,77.713922
