region,year,e0deficit_Q025_Male,e0deficit_Q025_Female,e0deficit_Q50_Male,e0deficit_Q50_Female,e0deficit_Q975_Male,e0deficit_Q975_Female,e0expected_Q50_Male,e0expected_Q50_Female,e0observed_Male,e0observed_Female,maleexcessdeficit,highermaledeficit
AT,2020,-1.221319,-1.046427,-0.80855,-0.592431,-0.453663,-0.123128,79.75651,84.356685,78.944924,83.765354,0.216119,TRUE
AT,2021,-1.776022,-1.324571,-1.142657,-0.747232,-0.625347,-0.177442,79.943192,84.530753,78.804632,83.770971,0.395425,TRUE
AT,2022,-1.91147,-1.520372,-1.134561,-0.834103,-0.413284,-0.070947,80.182634,84.655344,79.064506,83.805108,0.300458,TRUE
AT,2023,-1.750586,-1.291709,-0.935302,-0.521095,-0.17895,0.412453,80.402667,84.775622,79.446961,84.252714,0.414207,TRUE
AT,2024,-1.589204,-1.475698,-0.74077,-0.602302,0.169814,0.311328,80.638661,84.907481,79.888,84.299633,0.138469,TRUE
AT,2020-2024,-1.5520370000000001,-1.296342,-0.955957,-0.6626,-0.402279,-0.046555,80.186824,84.649824,79.233265,83.979652,0.293358,TRUE
BE,2020,-1.677917,-1.501516,-1.296525,-1.103054,-0.889319,-0.671552,79.791065,84.139432,78.495635,83.047649,0.193471,TRUE
BE,2021,-1.316864,-0.818423,-0.806704,-0.260133,-0.287831,0.30534,80.01034,84.268548,79.206892,84.01335,0.546572,TRUE
BE,2022,-1.373215,-1.388794,-0.67974,-0.604013,-0.071589,0.051698,80.223592,84.386864,79.525947,83.769318,0.075727,TRUE
BE,2023,-1.191932,-1.384918,-0.470553,-0.513559,0.343064,0.292124,80.467293,84.587538,79.99019,84.10093,-0.043006,FALSE
BE,2024,-1.410995,-1.231895,-0.552859,-0.387676,0.385229,0.545457,80.717363,84.741914,80.160377,84.354461,0.165183,TRUE
BE,2020-2024,-1.351957,-1.19633,-0.782437,-0.571256,-0.242822,-0.00647,80.244669,84.413467,79.461755,83.837595,0.211181,TRUE
BG,2020,-2.117684,-1.928532,-1.765266,-1.45461,-1.362865,-0.937039,71.727996,78.927537,69.979525,77.473135,0.310656,TRUE
BG,2021,-4.445874,-4.654871,-3.855941,-4.020318,-3.322676,-3.31879,71.894865,79.124304,68.040094,75.089063,-0.164377,FALSE
BG,2022,-1.825354,-2.029376,-1.272778,-1.250346,-0.605437,-0.441451,72.050108,79.26488,70.781675,78.004329,0.022431,TRUE
BG,2023,-0.524156,-0.937065,0.173893,0.022514,0.916259,1.061701,72.239466,79.497656,72.405025,79.528455,-0.151378,FALSE
BG,2024,-0.479573,-1.069274,0.248626,-0.107142,1.04535,0.97628,72.417331,79.659334,72.661654,79.556843,-0.355768,FALSE
BG,2020-2024,-1.977631,-2.189253,-1.430493,-1.472335,-0.892312,-0.734417,72.051772,79.296808,70.621759,77.818171,-0.041842,FALSE
CH,2020,-1.565966,-1.031292,-1.117434,-0.636749,-0.718555,-0.238737,82.112093,85.770199,81.0034,85.103391,0.480686,TRUE
CH,2021,-1.354174,-0.72333,-0.724667,-0.255476,-0.165624,0.294354,82.311619,85.891453,81.620554,85.638898,0.469191,TRUE
CH,2022,-1.614222,-1.306701,-0.960952,-0.644518,-0.20937,0.053619,82.580649,86.051646,81.622084,85.398909,0.316434,TRUE
CH,2023,-1.36608,-1.058893,-0.569012,-0.354599,0.271465,0.37022,82.782275,86.20207,82.227995,85.859653,0.214413,TRUE
CH,2024,-1.381738,-1.189552,-0.572951,-0.361762,0.373737,0.407397,83.043649,86.306743,82.442233,85.94417,0.21119,TRUE
CH,2020-2024,-1.439779,-0.983684,-0.791375,-0.445224,-0.172102,0.076011,82.575186,86.03126,81.777929,85.587066,0.346151,TRUE
CL,2020,-1.820077,-1.229029,-1.461025,-0.976241,-1.051704,-0.668379,77.497667,82.753568,76.0373,81.773038,0.484784,TRUE
CL,2021,-2.759604,-2.112611,-2.260176,-1.759317,-1.739195,-1.389098,77.669817,82.833915,75.407157,81.076849,0.500859,TRUE
CL,2022,-2.610979,-1.961602,-1.83316,-1.547695,-1.262098,-1.114397,77.809531,82.958459,75.967149,81.414753,0.285466,TRUE
CL,2023,-1.175924,-0.885415,-0.352794,-0.37105,0.373825,0.092711,77.959859,83.068363,77.615686,82.6881,-0.018256,FALSE
CL,2024,-1.170186,-1.362467,-0.305244,-0.764825,0.544448,-0.192414,78.153741,83.176113,77.846925,82.41144,-0.459581,FALSE
CL,2020-2024,-1.884022,-1.486431,-1.249732,-1.081794,-0.698878,-0.731499,77.819064,82.951292,76.563011,81.869454,0.167938,TRUE
CZ,2020,-1.610153,-1.613391,-1.309402,-1.041583,-0.90815,-0.592439,76.529088,82.365062,75.22277,81.306847,0.267818,TRUE
CZ,2021,-3.060406,-2.800249,-2.662855,-2.054154,-2.14465,-1.333337,76.760738,82.567246,74.105303,80.514652,0.608701,TRUE
CZ,2022,-1.389728,-1.614457,-0.86682,-0.820347,-0.261347,0.182482,77.004576,82.761854,76.135021,81.937069,0.046473,TRUE
CZ,2023,-0.878302,-1.134246,-0.207192,-0.131724,0.428487,0.895491,77.169135,82.905017,76.964151,82.773836,0.075468,TRUE
CZ,2024,-0.821535,-1.199639,-0.214186,-0.065858,0.500134,1.016389,77.391954,83.093338,77.182785,83.019113,0.148328,TRUE
CZ,2020-2024,-1.501571,-1.574902,-1.109172,-0.831585,-0.617978,-0.071493,76.977671,82.71643,75.866082,81.880071,0.277587,TRUE
DE,2020,-0.799692,-0.700198,-0.477732,-0.299688,-0.133567,0.104685,79.085683,83.748493,78.605617,83.440333999999993,0.178044,TRUE
DE,2021,-1.546332,-1.103364,-0.979001,-0.541547,-0.453798,0.045661,79.285454,83.891161,78.304684,83.34762,0.437454,TRUE
DE,2022,-1.65939,-1.499386,-1.140815,-0.834945,-0.497042,-0.151999,79.473645,83.98707,78.327713,83.15561,0.305871,TRUE
DE,2023,-1.353132,-1.345316,-0.69389,-0.542173,-0.009697,0.231659,79.694491,84.160791,78.996978,83.609623,0.151717,TRUE
DE,2024,-1.191862,-1.296416,-0.493262,-0.44099,0.314778,0.429569,79.903809999999993,84.275137,79.401649,83.832858,0.052272,TRUE
DE,2020-2024,-1.283145,-1.122286,-0.749565,-0.539077,-0.231574,0.087214,79.477458,84.017794,78.726415,83.478976,0.210488,TRUE
DK,2020,-0.35235,-0.355061,-0.063873,-0.051798,0.278552,0.299922,79.641137,83.600747,79.581885,83.527479,0.012075,TRUE
DK,2021,-0.742534,-0.935613,-0.303495,-0.458548,0.113267,0.003382,79.87672,83.755287,79.576273,83.304727,-0.155053,FALSE
DK,2022,-1.172306,-1.317697,-0.652552,-0.772314,-0.195526,-0.193825,80.084803,83.964898,79.436046,83.18324,-0.119762,FALSE
DK,2023,-1.262164,-1.186728,-0.569578,-0.515827,-0.018367,0.114257,80.29929,84.155665,79.728018,83.652058,0.05375,TRUE
DK,2024,-1.040371,-1.207939,-0.384035,-0.425329,0.263388,0.215215,80.545199,84.343271,80.175158,83.917381,-0.041294,FALSE
DK,2020-2024,-0.875778,-0.941612,-0.381084,-0.440423,0.039321,-0.00283,80.090365,83.95376,79.701572,83.517026,-0.059338,FALSE
EE,2020,-1.123769,-0.618155,-0.297422,-0.255857,0.58012,0.081901,74.721281,82.991069,74.411189,82.734648000000007,0.041564,TRUE
EE,2021,-3.563271,-2.270708,-2.456174,-1.926164,-1.001461,-1.446427,75.122927,83.271585,72.668471,81.373855,0.53001,TRUE
EE,2022,-3.151214,-1.769479,-1.773082,-1.264405,-0.231349,-0.798689,75.433969,83.530537,73.626266,82.274706,0.508677,TRUE
EE,2023,-2.72195,-1.271977,-1.250371,-0.727178,0.364382,-0.175137,75.766227,83.800411,74.520699,83.047732,0.523193,TRUE
EE,2024,-2.533074,-1.201446,-1.001899,-0.611025,0.753716,0.019348,76.133997,84.058155,75.125827,83.455871,0.390874,TRUE
EE,2020-2024,-2.471722,-1.330442,-1.420651,-0.965378,-0.091535,-0.599074,75.436927,83.518825,74.03596,82.551723,0.455273,TRUE
ES,2020,-1.926073,-1.948439,-1.540916,-1.390132,-1.101131,-0.893855,81.006493,86.398215,79.466972,85.00019,0.150784,TRUE
ES,2021,-1.698402,-1.410505,-1.052867,-0.80434,-0.495735,-0.160943,81.193615,86.601486,80.150398,85.786722,0.248527,TRUE
ES,2022,-1.791334,-1.899201,-1.105748,-1.022955,-0.36706,-0.205663,81.43514,86.725424,80.324736,85.711137,0.082793,TRUE
ES,2023,-1.435033,-1.479411,-0.58812,-0.50756,0.182465,0.377636,81.671256,86.873007,81.081351,86.361878,0.08056,TRUE
ES,2024,-1.615107,-1.465617,-0.511127,-0.400897,0.341902,0.669933,81.838494,87.040016,81.315606,86.643069,0.11023,TRUE
ES,2020-2024,-1.596756,-1.551374,-0.96502,-0.84086,-0.391516,-0.196514,81.421845,86.734549,80.454283,85.886126,0.12416,TRUE
FI,2020,-0.657,-0.381973,-0.400969,-0.065058,-0.102458,0.241208,79.404589,84.702023,79.018801,84.62294,0.335911,TRUE
FI,2021,-0.898267,-0.859679,-0.522454,-0.371897,-0.164615,0.056523,79.649306,84.837875,79.128503,84.46898,0.150557,TRUE
FI,2022,-1.753393,-1.822741,-1.24395,-1.239653,-0.854858,-0.742884,79.871986,85.027367,78.625455,83.779668,0.004298,TRUE
FI,2023,-1.703322,-1.679585,-1.158013,-1.006276,-0.713463,-0.464435,80.099185,85.19987,78.964729,84.184041,0.151737,TRUE
FI,2024,-1.181146,-1.361271,-0.663362,-0.561739,-0.125977,0.15622,80.35056,85.37034,79.678872,84.81129,0.101622,TRUE
FI,2020-2024,-1.16632,-1.175125,-0.804286,-0.648841,-0.471741,-0.225118,79.876425,85.017527,79.070206,84.361966,0.155444,TRUE
FR,2020,-1.223892,-1.22438,-0.832851,-0.564322,-0.388134,0.017618,80.001021,85.734959,79.170747,85.16076,0.268529,TRUE
FR,2021,-1.608003,-1.335143,-0.926008,-0.642979,-0.334865,0.11622,80.189983,85.925247,79.258995,85.290861,0.283029,TRUE
FR,2022,-1.794245,-1.950573,-1.070456,-0.891564,-0.294641,0.016024,80.436849,86.024071,79.360988,85.142136,0.178893,TRUE
FR,2023,-1.590491,-1.66599,-0.658339,-0.503619,0.149876,0.524593,80.679694,86.151472,80.012118,85.644945,0.15472,TRUE
FR,2024,-1.789502,-1.772371,-0.671357,-0.473534,0.241972,0.724739,80.851232,86.302833,80.187579,85.817596,0.197824,TRUE
FR,2020-2024,-1.502727,-1.466123,-0.834317,-0.625642,-0.223048,0.142271,80.424823,86.036204,79.595557,85.405924,0.208675,TRUE
GB-EAW,2020,-1.633266,-1.504285,-1.345805,-1.030863,-1.100189,-0.606619,79.863579,83.592235,78.526194,82.559368,0.314942,TRUE
GB-EAW,2021,-1.696391,-1.594513,-1.293542,-0.910174,-0.922473,-0.254866,79.987879,83.679376,78.687395,82.765772,0.383367,TRUE
GB-EAW,2022,-1.341969,-1.571206,-0.850196,-0.687807,-0.381484,0.103677,80.09118,83.775039,79.233903,83.087864,0.162389,TRUE
GB-EAW,2023,-1.488123,-1.653946,-0.91192,-0.642609,-0.372742,0.439411,80.200777,83.860341,79.279522,83.22359,0.269311,TRUE
