region,sex,year,e0deficit_Q025,e0deficit_Q50,e0deficit_Q975,e0expected_Q50,e0observed,e0_deficit_pval,sig
AT,Female,2020,-0.970834,-0.519641,-0.043963,84.283979,83.765354,0.012,sig
AT,Female,2021,-1.201456,-0.633398,-0.058113,84.416954,83.770971,0.012,sig
AT,Female,2022,-1.354044,-0.679464,0.094115,84.500582,83.805108,0.048,sig
AT,Female,2023,-1.079226,-0.325375,0.623374,84.580081,84.252714,0.268,ns
AT,Female,2024,-1.218352,-0.366224,0.561938,84.671259,84.299633,0.256,ns
AT,Female,2020-2024,-1.129552,-0.506119,0.116642,84.494559,83.979652,0.076,ns
BE,Female,2020,-1.559584,-1.104783,-0.610363,84.140076,83.047649,0,sig
BE,Female,2021,-0.884455,-0.253222,0.402828,84.25956,84.01335,0.216,ns
BE,Female,2022,-1.49315,-0.587512,0.173256,84.366499,83.769318,0.08,ns
BE,Female,2023,-1.494069,-0.49048,0.428926,84.569019,84.10093,0.176,ns
BE,Female,2024,-1.31965,-0.357587,0.734656,84.717655,84.354461,0.276,ns
BE,Female,2020-2024,-1.271591,-0.556828,0.10873,84.396152,83.837595,0.048,sig
BG,Female,2020,-1.774028,-1.318099,-0.814006,78.790483,77.473135,0,sig
BG,Female,2021,-4.438704,-3.83544,-3.149071,78.938673,75.089063,0,sig
BG,Female,2022,-1.766058,-1.017173,-0.230399,79.032908,78.004329,0.008,sig
BG,Female,2023,-0.610688,0.304666,1.317458,79.216182,79.528455,1,ns
BG,Female,2024,-0.692639,0.218354,1.277359,79.331243,79.556843,1,ns
BG,Female,2020-2024,-1.925962,-1.240344,-0.520986,79.065245,77.818171,0,sig
CH,Female,2020,-1.110891,-0.625806,-0.087126,85.750328,85.103391,0.012,sig
CH,Female,2021,-0.816193,-0.205743,0.518366,85.843951,85.638898,0.304,ns
CH,Female,2022,-1.435635,-0.582346,0.343649,85.989714,85.398909,0.104,ns
CH,Female,2023,-1.20255,-0.271615,0.673306,86.123533,85.859653,0.32,ns
CH,Female,2024,-1.331655,-0.250993,0.773531,86.197596,85.94417,0.316,ns
CH,Female,2020-2024,-1.081372,-0.372308,0.326561,85.961944,85.587066,0.152,ns
CL,Female,2020,-1.0785,-0.935859,-0.768963,82.717566,81.773038,0,sig
CL,Female,2021,-1.942111,-1.763969,-1.574894,82.8362,81.076849,0,sig
CL,Female,2022,-1.761681,-1.551472,-1.347012,82.972165,81.414753,0,sig
CL,Female,2023,-0.647969,-0.401584,-0.185475,83.09755,82.6881,0,sig
CL,Female,2024,-1.082198,-0.806228,-0.546324,83.218355,82.41144,0,sig
CL,Female,2020-2024,-1.28516,-1.101097,-0.942922,82.970028,81.869454,0,sig
CZ,Female,2020,-1.626148,-1.002719,-0.511332,82.327646,81.306847,0,sig
CZ,Female,2021,-2.796793,-1.977889,-1.180425,82.491117,80.514652,0,sig
CZ,Female,2022,-1.567778,-0.702855,0.387228,82.646645,81.937069,0.06,ns
CZ,Female,2023,-1.061329,0.026369,1.161194,82.746048,82.773836,0.512,ns
CZ,Female,2024,-1.098879,0.132958,1.321167,82.895347,83.019113,1,ns
CZ,Female,2020-2024,-1.523364,-0.711819,0.127518,82.596941,81.880071,0.048,sig
DE,Female,2020,-0.581288,-0.173464,0.24029,83.621995,83.440333999999993,0.22,ns
DE,Female,2021,-0.962399,-0.388461,0.212364,83.738124,83.34762,0.112,ns
DE,Female,2022,-1.335592,-0.654317,0.046004,83.806805,83.15561,0.032,sig
DE,Female,2023,-1.160556,-0.336494,0.458018,83.955656,83.609623,0.216,ns
DE,Female,2024,-1.089467,-0.209696,0.686676,84.044049,83.832858,0.328,ns
DE,Female,2020-2024,-0.953126,-0.357322,0.283147,83.836587,83.478976,0.144,ns
DK,Female,2020,-0.38086,-0.075038,0.280913,83.624526,83.527479,0.336,ns
DK,Female,2021,-0.972925,-0.49521,-0.028423,83.792114,83.304727,0.008,sig
DK,Female,2022,-1.362868,-0.82126999999999994,-0.23867,84.013884,83.18324,0,sig
DK,Female,2023,-1.239453,-0.575432,0.055358,84.215313,83.652058,0.024,sig
DK,Female,2024,-1.262033,-0.494882,0.144177,84.41224,83.917381,0.064,ns
DK,Female,2020-2024,-0.985676,-0.489511,-0.049842,84.002725,83.517026,0.016,sig
EE,Female,2020,-0.545964,-0.162933,0.221889,82.896112,82.734648000000007,0.144,ns
EE,Female,2021,-2.174567,-1.794432,-1.271281,83.133029,81.373855,0,sig
EE,Female,2022,-1.622321,-1.084096,-0.56063,83.347172,82.274706,0,sig
EE,Female,2023,-1.105571,-0.50358,0.130901,83.576177,83.047732,0.06,ns
EE,Female,2024,-1.025721,-0.34235,0.366335,83.793347,83.455871,0.152,ns
EE,Female,2020-2024,-1.188776,-0.780878,-0.359036,83.334977,82.551723,0,sig
ES,Female,2020,-1.891284,-1.305012,-0.7824,86.312744,85.00019,0,sig
ES,Female,2021,-1.323869,-0.685413,-0.008399,86.48322,85.786722,0.028,sig
ES,Female,2022,-1.795379,-0.867068,-0.006631,86.570919,85.711137,0.028,sig
ES,Female,2023,-1.349699,-0.317165,0.617376,86.68426,86.361878,0.28,ns
