region,sex,year,e0deficit_Q025,e0deficit_Q50,e0deficit_Q975,e0expected_Q50,e0observed,e0_deficit_pval,sig
AT,Male,2020,-1.197242,-0.797272,-0.448279,79.745379,78.944924,0,sig
AT,Male,2021,-1.716844,-1.107119,-0.60236,79.90951,78.804632,0,sig
AT,Male,2022,-1.816439,-1.075952,-0.371203,80.123805,79.064506,0.004,sig
AT,Male,2023,-1.621486,-0.851119,-0.11669,80.318202,79.446961,0.016,sig
AT,Male,2024,-1.420756,-0.628265,0.251577,80.526715,79.888,0.076,ns
AT,Male,2020-2024,-1.464069,-0.896006,-0.357782,80.126535,79.233265,0.004,sig
BE,Male,2020,-1.747716,-1.330871,-0.887238,79.82561,78.495635,0,sig
BE,Male,2021,-1.388203,-0.828267,-0.259096,80.033939,79.206892,0,sig
BE,Male,2022,-1.443204,-0.693767,-0.016463,80.2354,79.525947,0.024,sig
BE,Male,2023,-1.255734,-0.473503,0.417129,80.469842,79.99019,0.132,ns
BE,Male,2024,-1.467204,-0.545704,0.480172,80.710801,80.160377,0.124,ns
BE,Male,2020-2024,-1.416773,-0.795564,-0.201667,80.257129,79.461755,0.012,sig
BG,Male,2020,-2.073629,-1.726178,-1.318284,71.689077,69.979525,0,sig
BG,Male,2021,-4.3465,-3.772659,-3.231863,71.811644,68.040094,0,sig
BG,Male,2022,-1.681961,-1.143814,-0.465156,71.921981,70.781675,0,sig
BG,Male,2023,-0.317455,0.347445,1.100627,72.065279,72.405025,1,ns
BG,Male,2024,-0.225996,0.47037,1.270217,72.196387,72.661654,1,ns
BG,Male,2020-2024,-1.828096,-1.300639,-0.754948,71.921921,70.621759,0,sig
CH,Male,2020,-1.651354,-1.095714,-0.61868,82.096168,81.0034,0,sig
CH,Male,2021,-1.473621,-0.675082,-0.012848,82.266075,81.620554,0.02,sig
CH,Male,2022,-1.725785,-0.90753,0.022861,82.524484,81.622084,0.02,sig
CH,Male,2023,-1.511659,-0.484545,0.551973,82.700877,82.227995,0.172,ns
CH,Male,2024,-1.503598,-0.484513,0.71863,82.954447,82.442233,0.212,ns
CH,Male,2020-2024,-1.546631,-0.735755,0.042497,82.518649,81.777929,0.036,sig
CL,Male,2020,-1.738923,-1.538279,-1.282248,77.573967,76.0373,0,sig
CL,Male,2021,-2.656262,-2.374952,-2.087989,77.781582,75.407157,0,sig
CL,Male,2022,-2.43051,-2.006181,-1.684771,77.968773,75.967149,0,sig
CL,Male,2023,-0.974043,-0.545359,-0.155232,78.159224,77.615686,0.004,sig
CL,Male,2024,-0.950206,-0.525492,-0.057634,78.370284,77.846925,0.008,sig
CL,Male,2020-2024,-1.747111,-1.407369,-1.117077,77.975753,76.563011,0,sig
CZ,Male,2020,-1.54194,-1.246089,-0.852024,76.466071,75.22277,0,sig
CZ,Male,2021,-2.957459,-2.567454,-2.059404,76.666125,74.105303,0,sig
CZ,Male,2022,-1.249428,-0.741331,-0.146901,76.877953,76.135021,0.004,sig
CZ,Male,2023,-0.702686,-0.050388,0.571446,77.012408,76.964151,0.42,ns
CZ,Male,2024,-0.613223,-0.02583,0.673867,77.203588,77.182785,0.464,ns
CZ,Male,2020-2024,-1.365505,-0.982177,-0.501699,76.851286,75.866082,0,sig
DE,Male,2020,-0.691966,-0.377137,-0.038867,78.985147,78.605617,0.02,sig
DE,Male,2021,-1.383255,-0.829786,-0.313056,79.136432,78.304684,0,sig
DE,Male,2022,-1.449259,-0.944109,-0.310138,79.276659,78.327713,0,sig
DE,Male,2023,-1.090113,-0.447798,0.224633,79.44913,78.996978,0.116,ns
DE,Male,2024,-0.879289,-0.20022,0.595141,79.610585,79.401649,0.3,ns
DE,Male,2020-2024,-1.068921,-0.549622,-0.042511,79.278345,78.726415,0.02,sig
DK,Male,2020,-0.371768,-0.064775,0.297477,79.64304,79.581885,0.352,ns
DK,Male,2021,-0.763128,-0.305945,0.137416,79.877027,79.576273,0.08,ns
DK,Male,2022,-1.194575,-0.643842,-0.156518,80.080766,79.436046,0,sig
DK,Male,2023,-1.276939,-0.557244,0.021082,80.290384,79.728018,0.032,sig
DK,Male,2024,-1.049354,-0.369204,0.312238,80.531924,80.175158,0.168,ns
DK,Male,2020-2024,-0.893679,-0.377005,0.070771,80.08572,79.701572,0.036,sig
EE,Male,2020,-1.219342,-0.394801,0.485305,74.818589,74.411189,0.172,ns
EE,Male,2021,-3.635092,-2.536036,-1.074494,75.20276,72.668471,0,sig
EE,Male,2022,-3.203215,-1.834288,-0.287437,75.495955,73.626266,0.004,sig
EE,Male,2023,-2.752584,-1.294684,0.325437,75.810074,74.520699,0.068,ns
EE,Male,2024,-2.545817,-1.027324,0.728733,76.159366,75.125827,0.136,ns
EE,Male,2020-2024,-2.524028,-1.480553,-0.147603,75.497687,74.03596,0.012,sig
ES,Male,2020,-1.889254,-1.488413,-1.030865,80.954377,79.466972,0,sig
ES,Male,2021,-1.645404,-0.967644,-0.387783,81.109111,80.150398,0,sig
ES,Male,2022,-1.712016,-0.990021,-0.219142,81.321953,80.324736,0,sig
ES,Male,2023,-1.343785,-0.447227,0.361842,81.530594,81.081351,0.156,ns
ES,Male,2024,-1.507779,-0.33977,0.557169,81.667891,81.315606,0.212,ns
ES,Male,2020-2024,-1.516506,-0.852849,-0.249953,81.309181,80.454283,0.004,sig
FI,Male,2020,-0.79548,-0.522355,-0.196379,79.525746,79.018801,0,sig
FI,Male,2021,-1.063835,-0.662345,-0.271771,79.786351,79.128503,0,sig
FI,Male,2022,-1.9447,-1.399416,-0.966607,80.021393,78.625455,0,sig
FI,Male,2023,-1.914197,-1.320045,-0.838856,80.260324,78.964729,0,sig
FI,Male,2024,-1.39191,-0.836977,-0.258829,80.52448,79.678872,0,sig
FI,Male,2020-2024,-1.347751,-0.954584,-0.582193,80.023481,79.070206,0,sig
FR,Male,2020,-1.137493,-0.796895,-0.407207,79.964864,79.170747,0,sig
FR,Male,2021,-1.453267,-0.86143,-0.337145,80.122645,79.258995,0,sig
FR,Male,2022,-1.592807,-0.964558,-0.283716,80.330946,79.360988,0,sig
FR,Male,2023,-1.32409,-0.516974,0.194383,80.53533,80.012118,0.084,ns
FR,Male,2024,-1.466934,-0.497736,0.299381,80.677145,80.187579,0.12,ns
FR,Male,2020-2024,-1.313052,-0.728904,-0.192125,80.320188,79.595557,0.004,sig
GB-EAW,Male,2020,-1.633266,-1.345805,-1.100189,79.863579,78.526194,0,sig
GB-EAW,Male,2021,-1.696391,-1.293542,-0.922473,79.987879,78.687395,0,sig
GB-EAW,Male,2022,-1.341969,-0.850196,-0.381484,80.09118,79.233903,0,sig
GB-EAW,Male,2023,-1.488123,-0.91192,-0.372742,80.200777,79.279522,0,sig
GB-EAW,Male,2024,-1.191627,-0.462122,0.089798,80.272897,79.811064,0.056,ns
GB-EAW,Male,2020-2024,-1.404414,-0.981369,-0.618301,80.090901,79.106119,0,sig
GB-NIR,Male,2020,-1.787374,-1.158201,-0.4851,79.373136,78.225456,0,sig
GB-NIR,Male,2021,-2.141973,-1.400683,-0.518634,79.564074,78.156418,0,sig
GB-NIR,Male,2022,-1.829934,-0.848379,0.149969,79.694922,78.867954,0.032,sig
GB-NIR,Male,2023,-1.672103,-0.565785,0.513568,79.886404,79.287175,0.112,ns
GB-NIR,Male,2024,-2.732586,-1.682423,-0.571308,80.038707,78.372251,0.004,sig
GB-NIR,Male,2020-2024,-1.943131,-1.130249,-0.337832,79.719519,78.576251,0.012,sig
GB-SCT,Male,2020,-1.451251,-1.228392,-0.984247,77.394813,76.170443,0,sig
GB-SCT,Male,2021,-1.359133,-1.074187,-0.733156,77.471852,76.395061,0,sig
GB-SCT,Male,2022,-0.779623,-0.449843,-0.117104,77.539782,77.076103,0,sig
GB-SCT,Male,2023,-0.671864,-0.366919,0.074552,77.613719,77.23099,0.04,sig
GB-SCT,Male,2024,-0.082558,0.260768,0.68155,77.671785,77.934146,1,ns
GB-SCT,Male,2020-2024,-0.8245,-0.583357,-0.279771,77.536994000000007,76.956928,0,sig
GR,Male,2020,-0.776059,-0.25042,0.240954,78.991884,78.737513,0.164,ns
GR,Male,2021,-2.403646,-1.71418,-1.003073,79.111446,77.416364,0,sig
GR,Male,2022,-1.93051,-1.098066,-0.287571,79.266403,78.182898,0.012,sig
GR,Male,2023,-1.275104,-0.375584,0.541135,79.331365,78.971857,0.224,ns
