region,sex,year,e0deficit_Q025,e0deficit_Q50,e0deficit_Q975,e0expected_Q50,e0observed,e0_deficit_pval,sig
AT,Total,2020,-1.009578,-0.697752,-0.410156,82.075112,81.378882,0,sig
AT,Total,2021,-1.381418,-0.904345,-0.485319,82.206895,81.295572,0,sig
AT,Total,2022,-1.386411,-0.891211,-0.406475,82.341138,81.447657,0,sig
AT,Total,2023,-1.178921,-0.585612,-0.065323,82.465893,81.87392,0.012,sig
AT,Total,2024,-1.079801,-0.501618,0.110421,82.618311,82.125096,0.064,ns
AT,Total,2020-2024,-1.15677,-0.706876,-0.278671,82.330757,81.624262,0,sig
BE,Total,2020,-1.567325,-1.24234,-0.942013,82.015735,80.774485,0,sig
BE,Total,2021,-1.002977,-0.556228,-0.086485,82.174984,81.625038,0.012,sig
BE,Total,2022,-1.308971,-0.666448,-0.112195,82.351305,81.674921,0.008,sig
BE,Total,2023,-1.142624,-0.490313,0.24092,82.569838,82.081619,0.08,ns
BE,Total,2024,-1.113837,-0.438771,0.332174,82.745436,82.28423,0.108,ns
BE,Total,2020-2024,-1.200203,-0.690844,-0.19416,82.372654,81.673715,0,sig
BG,Total,2020,-1.897329,-1.593397,-1.24003,75.191312,73.596826,0,sig
BG,Total,2021,-4.340754,-3.897337,-3.450071,75.311921,71.406024,0,sig
BG,Total,2022,-1.656045,-1.12663,-0.635115,75.436299,74.30374,0,sig
BG,Total,2023,-0.231917,0.359061,0.962475,75.560811,75.923694,1,ns
BG,Total,2024,-0.243393,0.393472,1.003654,75.685896,76.076743,1,ns
BG,Total,2020-2024,-1.745099,-1.321839,-0.862315,75.442819,74.124538,0,sig
CH,Total,2020,-1.239453,-0.900128,-0.496597,83.974909,83.085806,0,sig
CH,Total,2021,-0.965473,-0.457111,0.046584,84.123734,83.669658,0.052,ns
CH,Total,2022,-1.341576,-0.720624,-0.096772,84.265972,83.547007,0.012,sig
CH,Total,2023,-1.004231,-0.378524,0.208722,84.472799,84.088187,0.164,ns
CH,Total,2024,-1.063248,-0.381733,0.410321,84.609715,84.236658,0.176,ns
CH,Total,2020-2024,-1.113833,-0.558108,-0.06515,84.28691,83.720451,0.012,sig
CL,Total,2020,-1.406493,-1.281604,-1.139849,80.111735,78.828735,0,sig
CL,Total,2021,-2.294289,-2.114834,-1.960546,80.282182,78.160241,0,sig
CL,Total,2022,-2.055879,-1.829384,-1.626478,80.443625,78.624484,0,sig
CL,Total,2023,-0.735483,-0.496004,-0.267402,80.604091,80.117034,0,sig
CL,Total,2024,-0.909935,-0.648839,-0.384998,80.763502,80.107471,0,sig
CL,Total,2020-2024,-1.455997,-1.282221,-1.126944,80.442867,79.16193,0,sig
CZ,Total,2020,-1.486051,-1.161399,-0.852299,79.401495,78.237029,0,sig
CZ,Total,2021,-2.802727,-2.378906,-1.907841,79.616049,77.233999,0,sig
CZ,Total,2022,-1.228916,-0.755825,-0.165315,79.780493,79.036089,0.004,sig
CZ,Total,2023,-0.628715,-0.032488,0.589535,79.912419,79.877907,0.464,ns
CZ,Total,2024,-0.623363,0.048136,0.753744,80.058433,80.104695,1,ns
CZ,Total,2020-2024,-1.323986,-0.900886,-0.423317,79.750442,78.856321,0,sig
DE,Total,2020,-0.582165,-0.306863,0.035702,81.323238,81.017761,0.044,sig
DE,Total,2021,-1.026916,-0.626625,-0.227036,81.437535,80.807627,0.004,sig
DE,Total,2022,-1.328793,-0.830114,-0.396526,81.561458,80.725146,0,sig
DE,Total,2023,-0.924669,-0.381102,0.133066,81.685447,81.300535,0.108,ns
DE,Total,2024,-0.786242,-0.198158,0.380719,81.813055,81.620687,0.272,ns
DE,Total,2020-2024,-0.893372,-0.473606,-0.056754,81.568792,81.094537,0.008,sig
DK,Total,2020,-0.303958,-0.067002,0.195549,81.630006,81.561891,0.272,ns
DK,Total,2021,-0.704805,-0.406431,-0.099569,81.846865,81.440729,0,sig
DK,Total,2022,-1.141251,-0.75073,-0.38543,82.060935,81.302444,0,sig
DK,Total,2023,-1.043492,-0.601484,-0.187096,82.278714,81.676452,0,sig
DK,Total,2024,-0.943682,-0.427499,0.075707,82.469029,82.048655,0.044,sig
DK,Total,2020-2024,-0.749095,-0.449727,-0.150433,82.058712,81.608348,0,sig
EE,Total,2020,-0.806946,-0.316733,0.210088,79.087132,78.759259,0.096,ns
EE,Total,2021,-2.907597,-2.246545,-1.407526,79.381194,77.1328,0,sig
