region_iso,region_name_en,year,age_group,e0_cntrb_t_mean,region_ggflag
AT,Austria,2020,0,-0.049584,at
AT,Austria,2020,20,-0.010506,at
AT,Austria,2020,40,-0.017467,at
AT,Austria,2020,60,-0.368444,at
AT,Austria,2020,80,-0.265242,at
AT,Austria,2020,100,0.002796,at
AT,Austria,2020-2024,0,-0.038711,at
AT,Austria,2020-2024,20,-0.080864,at
AT,Austria,2020-2024,40,-0.058784,at
AT,Austria,2020-2024,60,-0.388414,at
AT,Austria,2020-2024,80,-0.235604,at
AT,Austria,2020-2024,100,0.002218,at
AT,Austria,2021,0,-0.016977,at
AT,Austria,2021,20,-0.081499,at
AT,Austria,2021,40,-0.097798,at
AT,Austria,2021,60,-0.533631,at
AT,Austria,2021,80,-0.21479,at
AT,Austria,2021,100,0.005557,at
AT,Austria,2022,0,0.003917,at
AT,Austria,2022,20,-0.105311,at
AT,Austria,2022,40,-0.079487,at
AT,Austria,2022,60,-0.522174,at
AT,Austria,2022,80,-0.366311,at
AT,Austria,2022,100,0.001763,at
AT,Austria,2023,0,-0.057691,at
AT,Austria,2023,20,-0.086842,at
AT,Austria,2023,40,-0.052518,at
AT,Austria,2023,60,-0.31853,at
AT,Austria,2023,80,-0.21231,at
AT,Austria,2023,100,0.002389,at
AT,Austria,2024,0,-0.072104,at
AT,Austria,2024,20,-0.122961,at
AT,Austria,2024,40,-0.047342,at
AT,Austria,2024,60,-0.205769,at
AT,Austria,2024,80,-0.100158,at
AT,Austria,2024,100,-4.4e-5,at
BE,Belgium,2020,0,-0.009768,be
BE,Belgium,2020,20,-0.010215,be
BE,Belgium,2020,40,-0.067612,be
BE,Belgium,2020,60,-0.552568,be
BE,Belgium,2020,80,-0.598168,be
BE,Belgium,2020,100,-0.002466,be
BE,Belgium,2020-2024,0,0.009243,be
BE,Belgium,2020-2024,20,-0.040029,be
BE,Belgium,2020-2024,40,-0.066826,be
BE,Belgium,2020-2024,60,-0.379322,be
BE,Belgium,2020-2024,80,-0.231514,be
BE,Belgium,2020-2024,100,-0.001885,be
BE,Belgium,2021,0,-0.017653,be
BE,Belgium,2021,20,-0.036783,be
BE,Belgium,2021,40,-0.065083,be
BE,Belgium,2021,60,-0.395449,be
BE,Belgium,2021,80,-0.066504,be
BE,Belgium,2021,100,0.001861,be
BE,Belgium,2022,0,-0.025158,be
BE,Belgium,2022,20,-0.035666,be
BE,Belgium,2022,40,-0.078434,be
BE,Belgium,2022,60,-0.397557,be
BE,Belgium,2022,80,-0.251025,be
BE,Belgium,2022,100,-0.003187,be
BE,Belgium,2023,0,0.060114,be
BE,Belgium,2023,20,-0.044616,be
BE,Belgium,2023,40,-0.04664,be
BE,Belgium,2023,60,-0.248623,be
BE,Belgium,2023,80,-0.07271,be
BE,Belgium,2023,100,-6.14e-4,be
BE,Belgium,2024,0,0.048854,be
BE,Belgium,2024,20,-0.075175,be
BE,Belgium,2024,40,-0.076284,be
BE,Belgium,2024,60,-0.302521,be
BE,Belgium,2024,80,-0.073237,be
BE,Belgium,2024,100,-0.002724,be
BG,Bulgaria,2020,0,0.110641,bg
BG,Bulgaria,2020,20,-0.031313,bg
