group,region_iso,region_name_en,year,age_group,e0_cntrb_t_mean,region_ggflag
A First wave peak,BE,Belgium,2020,0,-0.041893,be
A First wave peak,BE,Belgium,2020,20,0.016985,be
A First wave peak,BE,Belgium,2020,40,0.007244,be
A First wave peak,BE,Belgium,2020,60,-0.416543,be
A First wave peak,BE,Belgium,2020,80,-0.638045,be
A First wave peak,BE,Belgium,2020,100,-0.005249,be
A First wave peak,BE,Belgium,2020-2024,0,-0.038366,be
A First wave peak,BE,Belgium,2020-2024,20,-0.016981,be
A First wave peak,BE,Belgium,2020-2024,40,0.018452,be
A First wave peak,BE,Belgium,2020-2024,60,-0.299577,be
A First wave peak,BE,Belgium,2020-2024,80,-0.245943,be
A First wave peak,BE,Belgium,2020-2024,100,-3.47e-4,be
A First wave peak,BE,Belgium,2021,0,-0.003392,be
A First wave peak,BE,Belgium,2021,20,-0.038586,be
A First wave peak,BE,Belgium,2021,40,0.029286,be
A First wave peak,BE,Belgium,2021,60,-0.274832,be
A First wave peak,BE,Belgium,2021,80,0.030644,be
A First wave peak,BE,Belgium,2021,100,3.29e-4,be
A First wave peak,BE,Belgium,2022,0,-0.032757,be
A First wave peak,BE,Belgium,2022,20,-0.014791,be
A First wave peak,BE,Belgium,2022,40,0.014576,be
A First wave peak,BE,Belgium,2022,60,-0.317805,be
A First wave peak,BE,Belgium,2022,80,-0.277772,be
A First wave peak,BE,Belgium,2022,100,-0.004745,be
A First wave peak,BE,Belgium,2023,0,-0.047572,be
A First wave peak,BE,Belgium,2023,20,-0.028546,be
A First wave peak,BE,Belgium,2023,40,-0.022337,be
A First wave peak,BE,Belgium,2023,60,-0.287646,be
A First wave peak,BE,Belgium,2023,80,-0.119771,be
A First wave peak,BE,Belgium,2023,100,0.02268,be
A First wave peak,BE,Belgium,2024,0,-0.067657,be
A First wave peak,BE,Belgium,2024,20,-0.020268,be
A First wave peak,BE,Belgium,2024,40,0.065326,be
A First wave peak,BE,Belgium,2024,60,-0.205822,be
A First wave peak,BE,Belgium,2024,80,-0.130236,be
A First wave peak,BE,Belgium,2024,100,-0.00184,be
A First wave peak,CH,Switzerland,2020,0,-0.028807,ch
A First wave peak,CH,Switzerland,2020,20,-0.022086,ch
A First wave peak,CH,Switzerland,2020,40,0.024519,ch
A First wave peak,CH,Switzerland,2020,60,-0.189265,ch
A First wave peak,CH,Switzerland,2020,80,-0.419093,ch
A First wave peak,CH,Switzerland,2020,100,-0.002283,ch
A First wave peak,CH,Switzerland,2020-2024,0,-0.029335,ch
A First wave peak,CH,Switzerland,2020-2024,20,-0.036689,ch
A First wave peak,CH,Switzerland,2020-2024,40,-0.002297,ch
A First wave peak,CH,Switzerland,2020-2024,60,-0.169564,ch
A First wave peak,CH,Switzerland,2020-2024,80,-0.207483,ch
A First wave peak,CH,Switzerland,2020-2024,100,-6.22e-4,ch
A First wave peak,CH,Switzerland,2021,0,4.87e-4,ch
A First wave peak,CH,Switzerland,2021,20,-0.02699,ch
A First wave peak,CH,Switzerland,2021,40,-6.04e-4,ch
A First wave peak,CH,Switzerland,2021,60,-0.153114,ch
A First wave peak,CH,Switzerland,2021,80,-0.062881,ch
A First wave peak,CH,Switzerland,2021,100,0.002301,ch
A First wave peak,CH,Switzerland,2022,0,-0.052332,ch
A First wave peak,CH,Switzerland,2022,20,-0.048697,ch
A First wave peak,CH,Switzerland,2022,40,-0.010282,ch
A First wave peak,CH,Switzerland,2022,60,-0.217035,ch
A First wave peak,CH,Switzerland,2022,80,-0.2934,ch
A First wave peak,CH,Switzerland,2022,100,-0.004759,ch
A First wave peak,CH,Switzerland,2023,0,-0.018277,ch
A First wave peak,CH,Switzerland,2023,20,-0.052792,ch
A First wave peak,CH,Switzerland,2023,40,0.014404,ch
A First wave peak,CH,Switzerland,2023,60,-0.110475,ch
A First wave peak,CH,Switzerland,2023,80,-0.161867,ch
A First wave peak,CH,Switzerland,2023,100,-0.00278,ch
A First wave peak,CH,Switzerland,2024,0,-0.048993,ch
A First wave peak,CH,Switzerland,2024,20,-0.033417,ch
A First wave peak,CH,Switzerland,2024,40,-0.039145,ch
A First wave peak,CH,Switzerland,2024,60,-0.177191,ch
A First wave peak,CH,Switzerland,2024,80,-0.077684,ch
A First wave peak,CH,Switzerland,2024,100,0.007282,ch
A First wave peak,ES,Spain,2020,0,-0.013177,es
A First wave peak,ES,Spain,2020,20,-0.050607,es
A First wave peak,ES,Spain,2020,40,-0.046517,es
A First wave peak,ES,Spain,2020,60,-0.575942,es
A First wave peak,ES,Spain,2020,80,-0.692535,es
A First wave peak,ES,Spain,2020,100,-0.007604,es
A First wave peak,ES,Spain,2020-2024,0,-0.056647,es
A First wave peak,ES,Spain,2020-2024,20,-0.059156,es
A First wave peak,ES,Spain,2020-2024,40,0.00806,es
A First wave peak,ES,Spain,2020-2024,60,-0.455287,es
A First wave peak,ES,Spain,2020-2024,80,-0.273166,es
A First wave peak,ES,Spain,2020-2024,100,-0.001774,es
A First wave peak,ES,Spain,2021,0,-0.048025,es
A First wave peak,ES,Spain,2021,20,-0.059101,es
A First wave peak,ES,Spain,2021,40,-0.004358,es
A First wave peak,ES,Spain,2021,60,-0.481059,es
A First wave peak,ES,Spain,2021,80,-0.185068,es
A First wave peak,ES,Spain,2021,100,-0.00352,es
A First wave peak,ES,Spain,2022,0,-0.053416,es
A First wave peak,ES,Spain,2022,20,-0.068715,es
A First wave peak,ES,Spain,2022,40,-0.011767,es
A First wave peak,ES,Spain,2022,60,-0.527799,es
A First wave peak,ES,Spain,2022,80,-0.362688,es
A First wave peak,ES,Spain,2022,100,-0.006525,es
A First wave peak,ES,Spain,2023,0,-0.073835,es
A First wave peak,ES,Spain,2023,20,-0.058364,es
A First wave peak,ES,Spain,2023,40,0.0392,es
A First wave peak,ES,Spain,2023,60,-0.383224,es
A First wave peak,ES,Spain,2023,80,-0.04438,es
A First wave peak,ES,Spain,2023,100,0.005785,es
