group,region_iso,region_name_en,year,age_group,e0_cntrb_t_mean,region_ggflag
A First wave peak,BE,Belgium,2020,0,0.041687,be
A First wave peak,BE,Belgium,2020,20,-0.03922,be
A First wave peak,BE,Belgium,2020,40,-0.110989,be
A First wave peak,BE,Belgium,2020,60,-0.646554,be
A First wave peak,BE,Belgium,2020,80,-0.513501,be
A First wave peak,BE,Belgium,2020,100,-8.57e-4,be
A First wave peak,BE,Belgium,2020-2024,0,-0.002252,be
A First wave peak,BE,Belgium,2020-2024,20,-0.049365,be
A First wave peak,BE,Belgium,2020-2024,40,-0.10552,be
A First wave peak,BE,Belgium,2020-2024,60,-0.396145,be
A First wave peak,BE,Belgium,2020-2024,80,-0.227241,be
A First wave peak,BE,Belgium,2020-2024,100,-8.23e-4,be
A First wave peak,BE,Belgium,2021,0,-0.019815,be
A First wave peak,BE,Belgium,2021,20,-0.04113,be
A First wave peak,BE,Belgium,2021,40,-0.119233,be
A First wave peak,BE,Belgium,2021,60,-0.453552,be
A First wave peak,BE,Belgium,2021,80,-0.160086,be
A First wave peak,BE,Belgium,2021,100,-0.001595,be
A First wave peak,BE,Belgium,2022,0,0.011087,be
A First wave peak,BE,Belgium,2022,20,-0.050423,be
A First wave peak,BE,Belgium,2022,40,-0.109191,be
A First wave peak,BE,Belgium,2022,60,-0.355435,be
A First wave peak,BE,Belgium,2022,80,-0.204331,be
A First wave peak,BE,Belgium,2022,100,-0.002071,be
A First wave peak,BE,Belgium,2023,0,-0.006225,be
A First wave peak,BE,Belgium,2023,20,-0.045923,be
A First wave peak,BE,Belgium,2023,40,-0.117896,be
A First wave peak,BE,Belgium,2023,60,-0.255119,be
A First wave peak,BE,Belgium,2023,80,-0.062932,be
A First wave peak,BE,Belgium,2023,100,0.005475,be
A First wave peak,BE,Belgium,2024,0,-0.041137,be
A First wave peak,BE,Belgium,2024,20,-0.07087,be
A First wave peak,BE,Belgium,2024,40,-0.069794,be
A First wave peak,BE,Belgium,2024,60,-0.268249,be
A First wave peak,BE,Belgium,2024,80,-0.111296,be
A First wave peak,BE,Belgium,2024,100,-8.62e-4,be
A First wave peak,CH,Switzerland,2020,0,-0.090815,ch
A First wave peak,CH,Switzerland,2020,20,-0.0816,ch
A First wave peak,CH,Switzerland,2020,40,-0.03287,ch
A First wave peak,CH,Switzerland,2020,60,-0.425911,ch
A First wave peak,CH,Switzerland,2020,80,-0.472441,ch
A First wave peak,CH,Switzerland,2020,100,-9.32e-4,ch
A First wave peak,CH,Switzerland,2020-2024,0,-0.065237,ch
A First wave peak,CH,Switzerland,2020-2024,20,-0.11765,ch
A First wave peak,CH,Switzerland,2020-2024,40,-0.066204,ch
A First wave peak,CH,Switzerland,2020-2024,60,-0.354545,ch
A First wave peak,CH,Switzerland,2020-2024,80,-0.177863,ch
A First wave peak,CH,Switzerland,2020-2024,100,3.36e-4,ch
A First wave peak,CH,Switzerland,2021,0,-0.038409,ch
A First wave peak,CH,Switzerland,2021,20,-0.115144,ch
A First wave peak,CH,Switzerland,2021,40,-0.068247,ch
A First wave peak,CH,Switzerland,2021,60,-0.445351,ch
A First wave peak,CH,Switzerland,2021,80,-0.060561,ch
A First wave peak,CH,Switzerland,2021,100,0.001228,ch
A First wave peak,CH,Switzerland,2022,0,-0.089296,ch
A First wave peak,CH,Switzerland,2022,20,-0.118483,ch
A First wave peak,CH,Switzerland,2022,40,-0.09305,ch
A First wave peak,CH,Switzerland,2022,60,-0.380811,ch
A First wave peak,CH,Switzerland,2022,80,-0.247498,ch
A First wave peak,CH,Switzerland,2022,100,-1.79e-4,ch
A First wave peak,CH,Switzerland,2023,0,-0.068414,ch
A First wave peak,CH,Switzerland,2023,20,-0.120144,ch
A First wave peak,CH,Switzerland,2023,40,-0.052393,ch
A First wave peak,CH,Switzerland,2023,60,-0.236267,ch
A First wave peak,CH,Switzerland,2023,80,-0.078982,ch
A First wave peak,CH,Switzerland,2023,100,0.003249,ch
A First wave peak,CH,Switzerland,2024,0,-0.038774,ch
A First wave peak,CH,Switzerland,2024,20,-0.152834,ch
A First wave peak,CH,Switzerland,2024,40,-0.081631,ch
A First wave peak,CH,Switzerland,2024,60,-0.283656,ch
A First wave peak,CH,Switzerland,2024,80,0.007412,ch
A First wave peak,CH,Switzerland,2024,100,5.74e-4,ch
A First wave peak,ES,Spain,2020,0,-0.018265,es
A First wave peak,ES,Spain,2020,20,-0.139795,es
A First wave peak,ES,Spain,2020,40,-0.100051,es
A First wave peak,ES,Spain,2020,60,-0.765194,es
A First wave peak,ES,Spain,2020,80,-0.492355,es
A First wave peak,ES,Spain,2020,100,-0.001336,es
A First wave peak,ES,Spain,2020-2024,0,-0.074513,es
A First wave peak,ES,Spain,2020-2024,20,-0.180179,es
A First wave peak,ES,Spain,2020-2024,40,-0.046636,es
A First wave peak,ES,Spain,2020-2024,60,-0.48965,es
A First wave peak,ES,Spain,2020-2024,80,-0.177492,es
A First wave peak,ES,Spain,2020-2024,100,2.5e-4,es
A First wave peak,ES,Spain,2021,0,-0.053329,es
A First wave peak,ES,Spain,2021,20,-0.162278,es
A First wave peak,ES,Spain,2021,40,-0.077308,es
A First wave peak,ES,Spain,2021,60,-0.60117,es
A First wave peak,ES,Spain,2021,80,-0.172771,es
A First wave peak,ES,Spain,2021,100,-4.86e-4,es
A First wave peak,ES,Spain,2022,0,-0.109503,es
A First wave peak,ES,Spain,2022,20,-0.182842,es
A First wave peak,ES,Spain,2022,40,-0.06114,es
A First wave peak,ES,Spain,2022,60,-0.531181,es
A First wave peak,ES,Spain,2022,80,-0.216968,es
A First wave peak,ES,Spain,2022,100,-2.13e-4,es
A First wave peak,ES,Spain,2023,0,-0.071962,es
A First wave peak,ES,Spain,2023,20,-0.198815,es
A First wave peak,ES,Spain,2023,40,0.002299,es
A First wave peak,ES,Spain,2023,60,-0.317058,es
A First wave peak,ES,Spain,2023,80,0.022111,es
A First wave peak,ES,Spain,2023,100,0.002027,es
A First wave peak,ES,Spain,2024,0,-0.126019,es
A First wave peak,ES,Spain,2024,20,-0.222328,es
A First wave peak,ES,Spain,2024,40,0.001455,es
A First wave peak,ES,Spain,2024,60,-0.223379,es
A First wave peak,ES,Spain,2024,80,0.045077,es
A First wave peak,ES,Spain,2024,100,0.003645,es
A First wave peak,GB-EAW,England and Wales,2020,0,0.005245,gb-eaw
A First wave peak,GB-EAW,England and Wales,2020,20,-0.014463,gb-eaw
A First wave peak,GB-EAW,England and Wales,2020,40,-0.284562,gb-eaw
A First wave peak,GB-EAW,England and Wales,2020,60,-0.624147,gb-eaw
A First wave peak,GB-EAW,England and Wales,2020,80,-0.423918,gb-eaw
A First wave peak,GB-EAW,England and Wales,2020,100,6.52e-4,gb-eaw
A First wave peak,GB-EAW,England and Wales,2020-2024,0,-0.047656,gb-eaw
