group,region_iso,region_name_en,year,age_group,e0_cntrb_t_mean,region_ggflag
A First wave peak,BE,Belgium,2020,0,0.002052,be
A First wave peak,BE,Belgium,2020,20,-0.012629,be
A First wave peak,BE,Belgium,2020,40,-0.057102,be
A First wave peak,BE,Belgium,2020,60,-0.550146,be
A First wave peak,BE,Belgium,2020,80,-0.586582,be
A First wave peak,BE,Belgium,2020,100,-0.003227,be
A First wave peak,BE,Belgium,2020-2024,0,-0.019478,be
A First wave peak,BE,Belgium,2020-2024,20,-0.034029,be
A First wave peak,BE,Belgium,2020-2024,40,-0.048073,be
A First wave peak,BE,Belgium,2020-2024,60,-0.356906,be
A First wave peak,BE,Belgium,2020-2024,80,-0.238838,be
A First wave peak,BE,Belgium,2020-2024,100,-5.43e-4,be
A First wave peak,BE,Belgium,2021,0,-0.012246,be
A First wave peak,BE,Belgium,2021,20,-0.040041,be
A First wave peak,BE,Belgium,2021,40,-0.051216,be
A First wave peak,BE,Belgium,2021,60,-0.378669,be
A First wave peak,BE,Belgium,2021,80,-0.065602,be
A First wave peak,BE,Belgium,2021,100,-6.96e-4,be
A First wave peak,BE,Belgium,2022,0,-0.009746,be
A First wave peak,BE,Belgium,2022,20,-0.033511,be
A First wave peak,BE,Belgium,2022,40,-0.051455,be
A First wave peak,BE,Belgium,2022,60,-0.342721,be
A First wave peak,BE,Belgium,2022,80,-0.242154,be
A First wave peak,BE,Belgium,2022,100,-0.003554,be
A First wave peak,BE,Belgium,2023,0,-0.025972,be
A First wave peak,BE,Belgium,2023,20,-0.037599,be
A First wave peak,BE,Belgium,2023,40,-0.073088,be
A First wave peak,BE,Belgium,2023,60,-0.2738,be
A First wave peak,BE,Belgium,2023,80,-0.088493,be
A First wave peak,BE,Belgium,2023,100,0.015262,be
A First wave peak,BE,Belgium,2024,0,-0.053852,be
A First wave peak,BE,Belgium,2024,20,-0.046856,be
A First wave peak,BE,Belgium,2024,40,-0.006427,be
A First wave peak,BE,Belgium,2024,60,-0.242142,be
A First wave peak,BE,Belgium,2024,80,-0.119578,be
A First wave peak,BE,Belgium,2024,100,-0.001438,be
A First wave peak,CH,Switzerland,2020,0,-0.061605,ch
A First wave peak,CH,Switzerland,2020,20,-0.053659,ch
A First wave peak,CH,Switzerland,2020,40,-0.006273,ch
A First wave peak,CH,Switzerland,2020,60,-0.319579,ch
A First wave peak,CH,Switzerland,2020,80,-0.454993,ch
A First wave peak,CH,Switzerland,2020,100,-0.001751,ch
A First wave peak,CH,Switzerland,2020-2024,0,-0.048315,ch
A First wave peak,CH,Switzerland,2020-2024,20,-0.079605,ch
A First wave peak,CH,Switzerland,2020-2024,40,-0.036357,ch
A First wave peak,CH,Switzerland,2020-2024,60,-0.269823,ch
A First wave peak,CH,Switzerland,2020-2024,80,-0.194509,ch
A First wave peak,CH,Switzerland,2020-2024,100,-2.29e-4,ch
A First wave peak,CH,Switzerland,2021,0,-0.020005,ch
A First wave peak,CH,Switzerland,2021,20,-0.073772,ch
A First wave peak,CH,Switzerland,2021,40,-0.036791,ch
A First wave peak,CH,Switzerland,2021,60,-0.31146,ch
A First wave peak,CH,Switzerland,2021,80,-0.061666,ch
A First wave peak,CH,Switzerland,2021,100,0.001713,ch
A First wave peak,CH,Switzerland,2022,0,-0.071926,ch
A First wave peak,CH,Switzerland,2022,20,-0.085635,ch
A First wave peak,CH,Switzerland,2022,40,-0.054416,ch
A First wave peak,CH,Switzerland,2022,60,-0.306345,ch
A First wave peak,CH,Switzerland,2022,80,-0.273193,ch
A First wave peak,CH,Switzerland,2022,100,-0.00284,ch
A First wave peak,CH,Switzerland,2023,0,-0.044719,ch
A First wave peak,CH,Switzerland,2023,20,-0.088455,ch
A First wave peak,CH,Switzerland,2023,40,-0.020977,ch
A First wave peak,CH,Switzerland,2023,60,-0.177895,ch
A First wave peak,CH,Switzerland,2023,80,-0.120318,ch
A First wave peak,CH,Switzerland,2023,100,-4.77e-4,ch
A First wave peak,CH,Switzerland,2024,0,-0.043691,ch
A First wave peak,CH,Switzerland,2024,20,-0.096626,ch
A First wave peak,CH,Switzerland,2024,40,-0.061647,ch
A First wave peak,CH,Switzerland,2024,60,-0.234054,ch
A First wave peak,CH,Switzerland,2024,80,-0.033795,ch
A First wave peak,CH,Switzerland,2024,100,0.004368,ch
A First wave peak,ES,Spain,2020,0,-0.015928,es
A First wave peak,ES,Spain,2020,20,-0.098428,es
A First wave peak,ES,Spain,2020,40,-0.07613,es
A First wave peak,ES,Spain,2020,60,-0.692013,es
A First wave peak,ES,Spain,2020,80,-0.603536,es
A First wave peak,ES,Spain,2020,100,-0.004543,es
A First wave peak,ES,Spain,2020-2024,0,-0.066363,es
A First wave peak,ES,Spain,2020-2024,20,-0.124034,es
A First wave peak,ES,Spain,2020-2024,40,-0.021483,es
A First wave peak,ES,Spain,2020-2024,60,-0.481829,es
A First wave peak,ES,Spain,2020-2024,80,-0.227651,es
A First wave peak,ES,Spain,2020-2024,100,-8.49e-4,es
A First wave peak,ES,Spain,2021,0,-0.051055,es
A First wave peak,ES,Spain,2021,20,-0.114539,es
A First wave peak,ES,Spain,2021,40,-0.044206,es
A First wave peak,ES,Spain,2021,60,-0.556131,es
A First wave peak,ES,Spain,2021,80,-0.181741,es
A First wave peak,ES,Spain,2021,100,-0.002082,es
A First wave peak,ES,Spain,2022,0,-0.083516,es
A First wave peak,ES,Spain,2022,20,-0.129895,es
A First wave peak,ES,Spain,2022,40,-0.03848,es
A First wave peak,ES,Spain,2022,60,-0.538236,es
