year,sex,region,e0_actual,e0_expected_avg,e0_expected_q050,e0_expected_q950,e0_deficit_avg,e0_deficit_q050,e0_deficit_q950,year_int,e0_deficit_pval,region_code_iso3166_2_alpha3,country_code_iso3166_1,country_code_iso3166_1_alpha3,region_code_stmf,calendar_stmf,region_code_hmd,region_code_wpp,region_code_coverage,region_name_en,region_name_de,region_name_short,region_level,country_name,hemisphere,continent,group,label
2020,Male,AT,78.966862,79.828812,79.501118,80.214913,-0.86195,-1.259181,-0.519817,2020,0,AUT,AT,AUT,AUT,iso_week_date,AUT,40,Austria,Austria,Österreich,AUT,0,Austria,n,Europe,D Prolonged depression,D Prolonged depression Austria
2021,Male,AT,78.809259,80.024254,79.521924,80.540535,-1.214994,-1.715039,-0.717017,2021,0,AUT,AT,AUT,AUT,iso_week_date,AUT,40,Austria,Austria,Österreich,AUT,0,Austria,n,Europe,D Prolonged depression,D Prolonged depression Austria
2022,Male,AT,78.997092,80.259538,79.591729,80.916765,-1.262446,-1.972207,-0.585421,2022,0.004,AUT,AT,AUT,AUT,iso_week_date,AUT,40,Austria,Austria,Österreich,AUT,0,Austria,n,Europe,D Prolonged depression,D Prolonged depression Austria
2023,Male,AT,79.491095,80.476933,79.795703,81.183244,-0.985839,-1.752542,-0.301598,2023,0.016,AUT,AT,AUT,AUT,iso_week_date,AUT,40,Austria,Austria,Österreich,AUT,0,Austria,n,Europe,D Prolonged depression,D Prolonged depression Austria
2024,Male,AT,80.044479,80.702217,79.917532,81.367543,-0.657738,-1.343837,0.136842,2024,0.084,AUT,AT,AUT,AUT,iso_week_date,AUT,40,Austria,Austria,Österreich,AUT,0,Austria,n,Europe,D Prolonged depression,D Prolonged depression Austria
2020-2024,Male,AT,79.259105,80.257779,79.738177,80.783244,-0.998674,-1.538393,-0.481133,NA,0.004,AUT,AT,AUT,AUT,iso_week_date,AUT,40,Austria,Austria,Österreich,AUT,0,Austria,n,Europe,D Prolonged depression,D Prolonged depression Austria
2020,Female,AT,83.787083,84.303292,83.907996,84.690542,-0.516209,-0.897811,-0.111519,2020,0.012,AUT,AT,AUT,AUT,iso_week_date,AUT,40,Austria,Austria,Österreich,AUT,0,Austria,n,Europe,D Prolonged depression,D Prolonged depression Austria
2021,Female,AT,83.846069,84.44823,83.923516,84.934205,-0.602161,-1.126598,-0.079,2021,0.02,AUT,AT,AUT,AUT,iso_week_date,AUT,40,Austria,Austria,Österreich,AUT,0,Austria,n,Europe,D Prolonged depression,D Prolonged depression Austria
2022,Female,AT,83.756465,84.583866,83.924445,85.192342,-0.8274,-1.451227,-0.161635,2022,0.012,AUT,AT,AUT,AUT,iso_week_date,AUT,40,Austria,Austria,Österreich,AUT,0,Austria,n,Europe,D Prolonged depression,D Prolonged depression Austria
2023,Female,AT,84.266619,84.693002,83.925026,85.399778,-0.426383,-1.150854,0.284669,2023,0.184,AUT,AT,AUT,AUT,iso_week_date,AUT,40,Austria,Austria,Österreich,AUT,0,Austria,n,Europe,D Prolonged depression,D Prolonged depression Austria
