region_iso,sex,year,e0deficit,pscore,mul,rank_pscore,rank_e0deficit,rank_mul,ggflag_region
AT,Total,2020-2024,-0.82636,0.088977,0.917427,14,19,23,at
BE,Total,2020-2024,-0.699946,0.073667,0.863958,23,25,26,be
BG,Total,2020-2024,-1.489391,0.143441,1.57584,1,2,4,bg
CH,Total,2020-2024,-0.630132,0.062827,0.797302,27,28,28,ch
CL,Total,2020-2024,-1.195997,0.13942,1.762274,2,7,2,cl
CZ,Total,2020-2024,-1.016532,0.104381,1.213269,9,8,10,cz
DE,Total,2020-2024,-0.655925,0.042993,0.741838,32,26,30,de
DK,Total,2020-2024,-0.430121,0.047969,0.694515,29,32,31,dk
EE,Total,2020-2024,-1.229591,0.096602,1.451302,11,6,6,ee
ES,Total,2020-2024,-0.924236,0.080235,1.097741,20,15,15,es
FI,Total,2020-2024,-0.760336,0.08371,0.914087,17,22,25,fi
FR,Total,2020-2024,-0.749313,0.075485,0.970731,21,23,21,fr
GB-EAW,Total,2020-2024,-0.868886,0.080639,1.094413,19,17,16,gb-eaw
GB-NIR,Total,2020-2024,-1.00146,0.10406,1.350002,10,10,9,gb
GB-SCT,Total,2020-2024,-0.56789,0.062927,0.966372,26,29,22,gb-sct
GR,Total,2020-2024,-0.95524,0.090158,1.011887,13,13,17,gr
HR,Total,2020-2024,-0.858978,0.068324,0.914295,25,18,24,hr
HU,Total,2020-2024,-0.963026,0.075392,1.167172,22,12,12,hu
IL,Total,2020-2024,-0.92691,0.133377,1.409331,3,14,8,il
IS,Total,2020-2024,-0.647902,0.047241,1.154508,30,27,13,is
IT,Total,2020-2024,-0.767282,0.091794,0.849558,12,21,27,it
LT,Total,2020-2024,-0.972223,0.084865,1.130578,16,11,14,lt
LU,Total,2020-2024,-0.468161,0.038755,0.655089,33,31,32,lu
LV,Total,2020-2024,-1.468466,0.110309,1.482143,8,3,5,lv
NL,Total,2020-2024,-1.007849,0.113956,1.191166,7,9,11,nl
NO,Total,2020-2024,-0.557722,0.057138,0.745982,28,30,29,no
PL,Total,2020-2024,-1.232577,0.119444,1.418461,5,5,7,pl
PT,Total,2020-2024,-0.89068,0.088219,0.983405,15,16,20,pt
SE,Total,2020-2024,-0.413855,0.045084,0.582753,31,33,33,se
SI,Total,2020-2024,-0.804322,0.081755,1.010302,18,20,18,si
SK,Total,2020-2024,-1.298096,0.115543,1.621287,6,4,3,sk
TW,Total,2020-2024,-0.727757,0.069718,0.984919,24,24,19,tw
US,Total,2020-2024,-1.733614,0.132606,2.318363,4,1,1,us
