region_iso,sex,year,model,e0_actual,e0_expected,e0_deficit,orig_cluster_assignment
AT,Total,2020,Lee-Carter,81.377077,82.064847,-0.68777,D
AT,Total,2020,LE random walk with drift,81.377077,82.145433,-0.768356,D
AT,Total,2020,ASDR random walk with drift,81.377077,82.127817,-0.75074,D
AT,Total,2021,Lee-Carter,81.296849,82.199613,-0.902765,D
AT,Total,2021,LE random walk with drift,81.296849,82.34011,-1.043262,D
AT,Total,2021,ASDR random walk with drift,81.296849,82.303555,-1.006707,D
AT,Total,2022,Lee-Carter,81.449812,82.350072,-0.90026,D
AT,Total,2022,LE random walk with drift,81.449812,82.534788,-1.084975,D
AT,Total,2022,ASDR random walk with drift,81.449812,82.47771,-1.027898,D
AT,Total,2023,Lee-Carter,81.874584,82.479308,-0.604724,D
AT,Total,2023,LE random walk with drift,81.874584,82.729465,-0.854881,D
AT,Total,2023,ASDR random walk with drift,81.874584,82.650299,-0.775715,D
AT,Total,2024,Lee-Carter,82.120401,82.624287,-0.503887,D
AT,Total,2024,LE random walk with drift,82.120401,82.924143,-0.803742,D
AT,Total,2024,ASDR random walk with drift,82.120401,82.821338,-0.700937,D
BE,Total,2020,Lee-Carter,80.772108,82.013079,-1.240971,A
BE,Total,2020,LE random walk with drift,80.772108,82.024613,-1.252505,A
BE,Total,2020,ASDR random walk with drift,80.772108,82.005435,-1.233327,A
BE,Total,2021,Lee-Carter,81.626694,82.182684,-0.555989,A
BE,Total,2021,LE random walk with drift,81.626694,82.237077,-0.610382,A
BE,Total,2021,ASDR random walk with drift,81.626694,82.197115,-0.570421,A
BE,Total,2022,Lee-Carter,81.678527,82.364049,-0.685523,A
BE,Total,2022,LE random walk with drift,81.678527,82.44954,-0.771013,A
BE,Total,2022,ASDR random walk with drift,81.678527,82.387017,-0.70849,A
BE,Total,2023,Lee-Carter,82.081437,82.558353,-0.476916,A
BE,Total,2023,LE random walk with drift,82.081437,82.662003,-0.580566,A
BE,Total,2023,ASDR random walk with drift,82.081437,82.575153,-0.493716,A
BE,Total,2024,Lee-Carter,82.286528,82.738216,-0.451688,A
BE,Total,2024,LE random walk with drift,82.286528,82.874466,-0.587938,A
BE,Total,2024,ASDR random walk with drift,82.286528,82.761535,-0.475007,A
BG,Total,2020,Lee-Carter,73.598922,75.175179,-1.576257,B
BG,Total,2020,LE random walk with drift,73.598922,75.270345,-1.671423,B
BG,Total,2020,ASDR random walk with drift,73.598922,75.254645,-1.655723,B
BG,Total,2021,Lee-Carter,71.40488,75.314973,-3.910093,B
BG,Total,2021,LE random walk with drift,71.40488,75.455948,-4.051068,B
BG,Total,2021,ASDR random walk with drift,71.40488,75.423599,-4.018719,B
BG,Total,2022,Lee-Carter,74.306815,75.428228,-1.121413,B
BG,Total,2022,LE random walk with drift,74.306815,75.641551,-1.334736,B
BG,Total,2022,ASDR random walk with drift,74.306815,75.591391,-1.284577,B
BG,Total,2023,Lee-Carter,75.922121,75.565506,0.356615,B
BG,Total,2023,LE random walk with drift,75.922121,75.827154,0.094966,B
BG,Total,2023,ASDR random walk with drift,75.922121,75.758055,0.164065,B
BG,Total,2024,Lee-Carter,76.078399,75.686148,0.392251,B
BG,Total,2024,LE random walk with drift,76.078399,76.012758,0.065641,B
BG,Total,2024,ASDR random walk with drift,76.078399,75.923623,0.154776,B
CH,Total,2020,Lee-Carter,83.082462,83.964277,-0.881815,A
CH,Total,2020,LE random walk with drift,83.082462,84.010993,-0.928531,A
CH,Total,2020,ASDR random walk with drift,83.082462,83.987255,-0.904793,A
CH,Total,2021,Lee-Carter,83.666577,84.122526,-0.455949,A
CH,Total,2021,LE random walk with drift,83.666577,84.219453,-0.552876,A
CH,Total,2021,ASDR random walk with drift,83.666577,84.170115,-0.503538,A
CH,Total,2022,Lee-Carter,83.546425,84.274429,-0.728004,A
CH,Total,2022,LE random walk with drift,83.546425,84.427913,-0.881488,A
CH,Total,2022,ASDR random walk with drift,83.546425,84.35087,-0.804445,A
CH,Total,2023,Lee-Carter,84.084352,84.451675,-0.367323,A
CH,Total,2023,LE random walk with drift,84.084352,84.636373,-0.552021,A
CH,Total,2023,ASDR random walk with drift,84.084352,84.529546,-0.445194,A
CH,Total,2024,Lee-Carter,84.238367,84.594584,-0.356218,A
CH,Total,2024,LE random walk with drift,84.238367,84.844833,-0.606466,A
CH,Total,2024,ASDR random walk with drift,84.238367,84.706169,-0.467802,A
CL,Total,2020,Lee-Carter,78.829051,80.107478,-1.278427,B
CL,Total,2020,LE random walk with drift,78.829051,80.080991,-1.251939,B
CL,Total,2020,ASDR random walk with drift,78.829051,80.062698,-1.233647,B
CL,Total,2021,Lee-Carter,78.160238,80.282097,-2.121858,B
CL,Total,2021,LE random walk with drift,78.160238,80.245257,-2.085019,B
CL,Total,2021,ASDR random walk with drift,78.160238,80.207257,-2.047019,B
CL,Total,2022,Lee-Carter,78.623562,80.447219,-1.823657,B
CL,Total,2022,LE random walk with drift,78.623562,80.409524,-1.785962,B
CL,Total,2022,ASDR random walk with drift,78.623562,80.350315,-1.726753,B
CL,Total,2023,Lee-Carter,80.118792,80.607059,-0.488268,B
CL,Total,2023,LE random walk with drift,80.118792,80.573791,-0.454999,B
CL,Total,2023,ASDR random walk with drift,80.118792,80.49192,-0.373129,B
CL,Total,2024,Lee-Carter,80.107142,80.756994,-0.649852,B
CL,Total,2024,LE random walk with drift,80.107142,80.738057,-0.630915,B
CL,Total,2024,ASDR random walk with drift,80.107142,80.632121,-0.524979,B
CZ,Total,2020,Lee-Carter,78.235856,79.406411,-1.170555,B
CZ,Total,2020,LE random walk with drift,78.235856,79.404216,-1.16836,B
CZ,Total,2020,ASDR random walk with drift,78.235856,79.395666,-1.15981,B
CZ,Total,2021,Lee-Carter,77.234356,79.604385,-2.370029,B
CZ,Total,2021,LE random walk with drift,77.234356,79.620428,-2.386071,B
CZ,Total,2021,ASDR random walk with drift,77.234356,79.602484,-2.368128,B
CZ,Total,2022,Lee-Carter,79.032643,79.761049,-0.728406,B
CZ,Total,2022,LE random walk with drift,79.032643,79.836639,-0.803996,B
CZ,Total,2022,ASDR random walk with drift,79.032643,79.80818,-0.775536,B
CZ,Total,2023,Lee-Carter,79.878033,79.912735,-0.034701,B
CZ,Total,2023,LE random walk with drift,79.878033,80.052851,-0.174817,B
CZ,Total,2023,ASDR random walk with drift,79.878033,80.012751,-0.134718,B
CZ,Total,2024,Lee-Carter,80.103923,80.062732,0.041191,B
CZ,Total,2024,LE random walk with drift,80.103923,80.269062,-0.165139,B
CZ,Total,2024,ASDR random walk with drift,80.103923,80.216196,-0.112273,B
DE,Total,2020,Lee-Carter,81.018687,81.308787,-0.2901,D
DE,Total,2020,LE random walk with drift,81.018687,81.373463,-0.354775,D
DE,Total,2020,ASDR random walk with drift,81.018687,81.360057,-0.34137,D
DE,Total,2021,Lee-Carter,80.807689,81.442345,-0.634656,D
DE,Total,2021,LE random walk with drift,80.807689,81.538788,-0.731099,D
DE,Total,2021,ASDR random walk with drift,80.807689,81.510745,-0.703056,D
DE,Total,2022,Lee-Carter,80.725015,81.553687,-0.828672,D
DE,Total,2022,LE random walk with drift,80.725015,81.704114,-0.979099,D
DE,Total,2022,ASDR random walk with drift,80.725015,81.660192,-0.935177,D
DE,Total,2023,Lee-Carter,81.301285,81.692562,-0.391277,D
DE,Total,2023,LE random walk with drift,81.301285,81.86944,-0.568155,D
