region_iso,sex,year,Lee-Carter,LE random walk with drift,ASDR random walk with drift,ggflag_region
AT,Total,2020,21,21,21,at
AT,Total,2021,20,20,20,at
AT,Total,2022,18,17,14,at
AT,Total,2023,10,11,11,at
AT,Total,2024,10,9,10,at
BE,Total,2020,8,7,8,be
BE,Total,2021,26,25,25,be
BE,Total,2022,30,29,30,be
BE,Total,2023,16,20,20,be
BE,Total,2024,13,18,15,be
BG,Total,2020,2,2,2,bg
BG,Total,2021,1,1,1,bg
BG,Total,2022,9,8,6,bg
BG,Total,2023,34,34,34,bg
BG,Total,2024,34,34,34,bg
CH,Total,2020,16,14,16,ch
CH,Total,2021,27,26,26,ch
CH,Total,2022,28,26,25,ch
CH,Total,2023,25,22,23,ch
CH,Total,2024,20,17,16,ch
CL,Total,2020,6,8,7,cl
CL,Total,2021,10,10,10,cl
CL,Total,2022,2,3,3,cl
CL,Total,2023,15,26,25,cl
CL,Total,2024,9,15,14,cl
CZ,Total,2020,11,11,11,cz
CZ,Total,2021,8,9,8,cz
CZ,Total,2022,27,28,26,cz
CZ,Total,2023,32,31,30,cz
CZ,Total,2024,31,31,29,cz
DE,Total,2020,29,28,28,de
DE,Total,2021,24,24,24,de
DE,Total,2022,23,23,22,de
DE,Total,2023,20,21,19,de
DE,Total,2024,23,22,23,de
DK,Total,2020,30,31,31,dk
DK,Total,2021,28,28,28,dk
DK,Total,2022,26,27,28,dk
DK,Total,2023,11,15,15,dk
DK,Total,2024,16,16,17,dk
EE,Total,2020,28,26,26,ee
EE,Total,2021,9,8,9,ee
EE,Total,2022,3,2,4,ee
EE,Total,2023,5,1,3,ee
EE,Total,2024,7,1,7,ee
ES,Total,2020,5,5,5,es
ES,Total,2021,21,22,22,es
ES,Total,2022,14,14,15,es
ES,Total,2023,21,19,21,es
ES,Total,2024,21,19,19,es
FI,Total,2020,26,30,29,fi
FI,Total,2021,25,27,27,fi
FI,Total,2022,5,7,7,fi
FI,Total,2023,1,5,2,fi
FI,Total,2024,6,12,11,fi
FR,Total,2020,22,22,22,fr
FR,Total,2021,23,23,23,fr
FR,Total,2022,20,20,19,fr
FR,Total,2023,18,17,17,fr
FR,Total,2024,19,13,13,fr
GB-EAW,Total,2020,9,10,10,gb-eaw
GB-EAW,Total,2021,15,17,15,gb-eaw
GB-EAW,Total,2022,24,30,29,gb-eaw
GB-EAW,Total,2023,6,14,12,gb-eaw
GB-EAW,Total,2024,18,25,22,gb-eaw
GB-NIR,Total,2020,12,12,12,gb
GB-NIR,Total,2021,14,14,14,gb
GB-NIR,Total,2022,31,31,31,gb
GB-NIR,Total,2023,17,18,18,gb
GB-NIR,Total,2024,2,3,1,gb
GB-SCT,Total,2020,15,16,15,gb-sct
GB-SCT,Total,2021,18,18,18,gb-sct
GB-SCT,Total,2022,32,32,32,gb-sct
GB-SCT,Total,2023,14,10,10,gb-sct
GB-SCT,Total,2024,29,20,21,gb-sct
GR,Total,2020,27,27,27,gr
GR,Total,2021,12,12,12,gr
GR,Total,2022,11,12,12,gr
GR,Total,2023,24,16,16,gr
GR,Total,2024,12,10,9,gr
HR,Total,2020,17,17,17,hr
HR,Total,2021,11,11,11,hr
HR,Total,2022,16,22,23,hr
HR,Total,2023,31,32,32,hr
HR,Total,2024,27,33,33,hr
HU,Total,2020,14,13,13,hu
HU,Total,2021,6,6,7,hu
HU,Total,2022,15,15,20,hu
HU,Total,2023,29,28,29,hu
HU,Total,2024,26,26,28,hu
IL,Total,2020,24,25,25,il
IL,Total,2021,22,21,21,il
IL,Total,2022,22,16,16,il
IL,Total,2023,12,8,9,il
IL,Total,2024,3,2,3,il
IS,Total,2020,31,29,30,is
IS,Total,2021,34,31,31,is
IS,Total,2022,21,9,10,is
