region_iso,sex,year,e0_actual,e0_expected_lc,e0_expected_e0rw,e0_expected_nmxrw
AT,Male,2000,75.104007,NA,NA,NA
AT,Male,2001,75.600017,NA,NA,NA
AT,Male,2002,75.762398,NA,NA,NA
AT,Male,2003,75.916615,NA,NA,NA
AT,Male,2004,76.374574,NA,NA,NA
AT,Male,2005,76.61975,NA,NA,NA
AT,Male,2006,77.073135,NA,NA,NA
AT,Male,2007,77.286142,NA,NA,NA
AT,Male,2008,77.58532,NA,NA,NA
AT,Male,2009,77.399998,NA,NA,NA
AT,Male,2010,77.646591,NA,NA,NA
AT,Male,2011,78.069338,NA,NA,NA
AT,Male,2012,78.263695,NA,NA,NA
AT,Male,2013,78.453405,NA,NA,NA
AT,Male,2014,78.917166,NA,NA,NA
AT,Male,2015,78.652162,NA,NA,NA
AT,Male,2016,79.147362,NA,NA,NA
AT,Male,2017,79.282094,NA,NA,NA
AT,Male,2018,79.300557,NA,NA,NA
AT,Male,2019,79.572248,NA,NA,NA
AT,Male,2020,78.947229,79.760606,79.807419,79.784842
AT,Male,2021,78.805773,79.928455,80.042589,79.996257
AT,Male,2022,79.064609,80.131905,80.27776,80.205652
AT,Male,2023,79.45141,80.318307,80.512931,80.413046
AT,Male,2024,79.88533,80.511009,80.748101,80.618457
AT,Female,2000,81.112091,NA,NA,NA
AT,Female,2001,81.588303,NA,NA,NA
AT,Female,2002,81.675795,NA,NA,NA
AT,Female,2003,81.555469,NA,NA,NA
AT,Female,2004,82.121039,NA,NA,NA
AT,Female,2005,82.224465,NA,NA,NA
AT,Female,2006,82.653865,NA,NA,NA
AT,Female,2007,82.81919,NA,NA,NA
AT,Female,2008,82.947933,NA,NA,NA
AT,Female,2009,82.847577,NA,NA,NA
AT,Female,2010,83.11839,NA,NA,NA
AT,Female,2011,83.438642,NA,NA,NA
AT,Female,2012,83.309496,NA,NA,NA
AT,Female,2013,83.595817,NA,NA,NA
AT,Female,2014,83.770897,NA,NA,NA
AT,Female,2015,83.628399,NA,NA,NA
AT,Female,2016,83.933452,NA,NA,NA
AT,Female,2017,83.909157,NA,NA,NA
AT,Female,2018,84.017621,NA,NA,NA
AT,Female,2019,84.243928,NA,NA,NA
AT,Female,2020,83.764997,84.283841,84.408762,84.39571
AT,Female,2021,83.76798,84.389124,84.573595,84.546711
AT,Female,2022,83.804648,84.48535,84.738429,84.696505
AT,Female,2023,84.257725,84.555662,84.903262,84.845099
AT,Female,2024,84.301969,84.654161,85.068096,84.992499
AT,Total,2000,78.251884,NA,NA,NA
AT,Total,2001,78.739008,NA,NA,NA
AT,Total,2002,78.853595,NA,NA,NA
AT,Total,2003,78.857686,NA,NA,NA
AT,Total,2004,79.370762,NA,NA,NA
AT,Total,2005,79.536074,NA,NA,NA
AT,Total,2006,79.977326,NA,NA,NA
AT,Total,2007,80.152216,NA,NA,NA
AT,Total,2008,80.369568,NA,NA,NA
AT,Total,2009,80.207842,NA,NA,NA
AT,Total,2010,80.461777,NA,NA,NA
AT,Total,2011,80.834137,NA,NA,NA
AT,Total,2012,80.857654,NA,NA,NA
AT,Total,2013,81.090183,NA,NA,NA
AT,Total,2014,81.414997,NA,NA,NA
AT,Total,2015,81.188113,NA,NA,NA
AT,Total,2016,81.598901,NA,NA,NA
AT,Total,2017,81.641975,NA,NA,NA
AT,Total,2018,81.70107,NA,NA,NA
AT,Total,2019,81.950755,NA,NA,NA
AT,Total,2020,81.377077,82.064847,82.145433,82.127817
AT,Total,2021,81.296849,82.199613,82.34011,82.303555
AT,Total,2022,81.449812,82.350072,82.534788,82.47771
AT,Total,2023,81.874584,82.479308,82.729465,82.650299
AT,Total,2024,82.120401,82.624287,82.924143,82.821338
BE,Male,2000,74.56405,NA,NA,NA
BE,Male,2001,74.916886,NA,NA,NA
BE,Male,2002,75.08903,NA,NA,NA
BE,Male,2003,75.361576,NA,NA,NA
BE,Male,2004,75.961924,NA,NA,NA
BE,Male,2005,76.142131,NA,NA,NA
BE,Male,2006,76.519736,NA,NA,NA
BE,Male,2007,76.739695,NA,NA,NA
BE,Male,2008,76.769109,NA,NA,NA
BE,Male,2009,77.151276,NA,NA,NA
BE,Male,2010,77.356757,NA,NA,NA
BE,Male,2011,77.751637,NA,NA,NA
BE,Male,2012,77.608883,NA,NA,NA
BE,Male,2013,77.917838,NA,NA,NA
BE,Male,2014,78.542892,NA,NA,NA
BE,Male,2015,78.531336,NA,NA,NA
BE,Male,2016,78.750149,NA,NA,NA
BE,Male,2017,78.954768,NA,NA,NA
BE,Male,2018,79.164353,NA,NA,NA
BE,Male,2019,79.555875,NA,NA,NA
BE,Male,2020,78.494707,79.81253,79.818603,79.795473
BE,Male,2021,79.208984,80.029151,80.081331,80.033459
BE,Male,2022,79.528302,80.256539,80.344058,80.269285
BE,Male,2023,79.986802,80.472441,80.606786,80.502959
BE,Male,2024,80.160206,80.715806,80.869513,80.734486
BE,Female,2000,80.910427,NA,NA,NA
BE,Female,2001,81.174899,NA,NA,NA
BE,Female,2002,81.198653,NA,NA,NA
BE,Female,2003,81.206984,NA,NA,NA
BE,Female,2004,81.86353,NA,NA,NA
BE,Female,2005,81.861868,NA,NA,NA
BE,Female,2006,82.148338,NA,NA,NA
BE,Female,2007,82.21295,NA,NA,NA
BE,Female,2008,82.316903,NA,NA,NA
BE,Female,2009,82.431925,NA,NA,NA
BE,Female,2010,82.635032,NA,NA,NA
BE,Female,2011,82.854773,NA,NA,NA
BE,Female,2012,82.816478,NA,NA,NA
BE,Female,2013,82.915404,NA,NA,NA
BE,Female,2014,83.500236,NA,NA,NA
BE,Female,2015,83.138381999999993,NA,NA,NA
BE,Female,2016,83.668723,NA,NA,NA
BE,Female,2017,83.642943,NA,NA,NA
BE,Female,2018,83.678947,NA,NA,NA
BE,Female,2019,83.990025,NA,NA,NA
BE,Female,2020,83.043047,84.136494,84.152109,84.140018
BE,Female,2021,84.011086,84.257818,84.314193,84.289163
BE,Female,2022,83.773991,84.39365,84.476277,84.437158
BE,Female,2023,84.103797,84.569862,84.638361,84.584005
BE,Female,2024,84.354208,84.684297,84.800445,84.729708
BE,Total,2000,77.77535,NA,NA,NA
BE,Total,2001,78.090837,NA,NA,NA
BE,Total,2002,78.183455,NA,NA,NA
BE,Total,2003,78.327386,NA,NA,NA
BE,Total,2004,78.964406,NA,NA,NA
BE,Total,2005,79.052789,NA,NA,NA
BE,Total,2006,79.388037,NA,NA,NA
BE,Total,2007,79.534425,NA,NA,NA
BE,Total,2008,79.587109,NA,NA,NA
BE,Total,2009,79.844275,NA,NA,NA
BE,Total,2010,80.044032,NA,NA,NA
BE,Total,2011,80.354786,NA,NA,NA
BE,Total,2012,80.247365,NA,NA,NA
BE,Total,2013,80.456527,NA,NA,NA
BE,Total,2014,81.06574,NA,NA,NA
BE,Total,2015,80.874752,NA,NA,NA
BE,Total,2016,81.241042,NA,NA,NA
BE,Total,2017,81.33658,NA,NA,NA
BE,Total,2018,81.459001,NA,NA,NA
BE,Total,2019,81.81215,NA,NA,NA
BE,Total,2020,80.772108,82.013079,82.024613,82.005435
BE,Total,2021,81.626694,82.182684,82.237077,82.197115
BE,Total,2022,81.678527,82.364049,82.44954,82.387017
BE,Total,2023,82.081437,82.558353,82.662003,82.575153
BE,Total,2024,82.286528,82.738216,82.874466,82.761535
BG,Male,2000,68.289618,NA,NA,NA
BG,Male,2001,68.507484,NA,NA,NA
BG,Male,2002,68.828066,NA,NA,NA
BG,Male,2003,68.924844,NA,NA,NA
BG,Male,2004,69.058882,NA,NA,NA
BG,Male,2005,69.049129,NA,NA,NA
BG,Male,2006,69.250377,NA,NA,NA
BG,Male,2007,69.532192,NA,NA,NA
BG,Male,2008,69.8213,NA,NA,NA
BG,Male,2009,70.17583,NA,NA,NA
BG,Male,2010,70.376481,NA,NA,NA
BG,Male,2011,70.724395,NA,NA,NA
BG,Male,2012,70.916857,NA,NA,NA
BG,Male,2013,71.291859,NA,NA,NA
BG,Male,2014,71.069504,NA,NA,NA
BG,Male,2015,71.234925,NA,NA,NA
BG,Male,2016,71.309326,NA,NA,NA
BG,Male,2017,71.374165,NA,NA,NA
BG,Male,2018,71.487951,NA,NA,NA
BG,Male,2019,71.578663,NA,NA,NA
BG,Male,2020,69.983522,71.690648,71.75177,71.731538
BG,Male,2021,68.038559,71.81503,71.924878,71.883417
BG,Male,2022,70.785889,71.905108,72.097986,72.033902
BG,Male,2023,72.4046,72.040594,72.271093,72.183048
BG,Male,2024,72.665323,72.166131,72.444201,72.330905
BG,Female,2000,74.994475,NA,NA,NA
BG,Female,2001,75.39886,NA,NA,NA
BG,Female,2002,75.575259,NA,NA,NA
BG,Female,2003,75.96073,NA,NA,NA
BG,Female,2004,76.244539,NA,NA,NA
BG,Female,2005,76.240779,NA,NA,NA
BG,Female,2006,76.298714,NA,NA,NA
BG,Female,2007,76.607177,NA,NA,NA
BG,Female,2008,76.97562,NA,NA,NA
BG,Female,2009,77.334972,NA,NA,NA
BG,Female,2010,77.337075,NA,NA,NA
BG,Female,2011,77.713728,NA,NA,NA
BG,Female,2012,77.861078,NA,NA,NA
BG,Female,2013,78.48396,NA,NA,NA
BG,Female,2014,77.97029,NA,NA,NA
BG,Female,2015,78.13031,NA,NA,NA
BG,Female,2016,78.470322,NA,NA,NA
BG,Female,2017,78.341703,NA,NA,NA
BG,Female,2018,78.486275,NA,NA,NA
BG,Female,2019,78.7238,NA,NA,NA
BG,Female,2020,77.480941,78.78016,78.92008,78.903481
BG,Female,2021,75.095233,78.926769,79.11636,79.082301
BG,Female,2022,78.008547,79.060962,79.312641,79.259754
BG,Female,2023,79.526999,79.203066,79.508921,79.435861
BG,Female,2024,79.552592,79.326419,79.705201,79.610641
BG,Total,2000,71.558281,NA,NA,NA
BG,Total,2001,71.866294,NA,NA,NA
BG,Total,2002,72.126259,NA,NA,NA
BG,Total,2003,72.356733,NA,NA,NA
BG,Total,2004,72.563798,NA,NA,NA
BG,Total,2005,72.553765,NA,NA,NA
BG,Total,2006,72.692534,NA,NA,NA
BG,Total,2007,72.992467,NA,NA,NA
BG,Total,2008,73.323338,NA,NA,NA
BG,Total,2009,73.686553,NA,NA,NA
BG,Total,2010,73.797923,NA,NA,NA
BG,Total,2011,74.160918,NA,NA,NA
BG,Total,2012,74.332776,NA,NA,NA
BG,Total,2013,74.828035,NA,NA,NA
BG,Total,2014,74.46528,NA,NA,NA
BG,Total,2015,74.628864,NA,NA,NA
BG,Total,2016,74.8265,NA,NA,NA
BG,Total,2017,74.80193,NA,NA,NA
BG,Total,2018,74.930595,NA,NA,NA
BG,Total,2019,75.084742,NA,NA,NA
BG,Total,2020,73.598922,75.175179,75.270345,75.254645
BG,Total,2021,71.40488,75.314973,75.455948,75.423599
BG,Total,2022,74.306815,75.428228,75.641551,75.591391
BG,Total,2023,75.922121,75.565506,75.827154,75.758055
BG,Total,2024,76.078399,75.686148,76.012758,75.923623
