region_iso,sex,year,e0_actual,e0_expected_lc
AT,Male,2000,75.104007,NA
AT,Male,2001,75.600017,NA
AT,Male,2002,75.762398,NA
AT,Male,2003,75.916615,NA
AT,Male,2004,76.374574,NA
AT,Male,2005,76.61975,NA
AT,Male,2006,77.073135,NA
AT,Male,2007,77.286142,NA
AT,Male,2008,77.58532,NA
AT,Male,2009,77.399998,NA
AT,Male,2010,77.646591,NA
AT,Male,2011,78.069338,NA
AT,Male,2012,78.263695,NA
AT,Male,2013,78.453405,NA
AT,Male,2014,78.917166,NA
AT,Male,2015,78.652162,NA
AT,Male,2016,79.147362,NA
AT,Male,2017,79.282094,NA
AT,Male,2018,79.300557,NA
AT,Male,2019,79.572248,NA
AT,Male,2020,78.947229,79.760606
AT,Male,2021,78.805773,79.928455
AT,Male,2022,79.064609,80.131905
AT,Male,2023,79.45141,80.318307
AT,Male,2024,79.88533,80.511009
AT,Female,2000,81.112091,NA
AT,Female,2001,81.588303,NA
AT,Female,2002,81.675795,NA
AT,Female,2003,81.555469,NA
AT,Female,2004,82.121039,NA
AT,Female,2005,82.224465,NA
AT,Female,2006,82.653865,NA
AT,Female,2007,82.81919,NA
AT,Female,2008,82.947933,NA
AT,Female,2009,82.847577,NA
AT,Female,2010,83.11839,NA
AT,Female,2011,83.438642,NA
AT,Female,2012,83.309496,NA
AT,Female,2013,83.595817,NA
AT,Female,2014,83.770897,NA
AT,Female,2015,83.628399,NA
AT,Female,2016,83.933452,NA
AT,Female,2017,83.909157,NA
AT,Female,2018,84.017621,NA
AT,Female,2019,84.243928,NA
AT,Female,2020,83.764997,84.283841
AT,Female,2021,83.76798,84.389124
AT,Female,2022,83.804648,84.48535
AT,Female,2023,84.257725,84.555662
AT,Female,2024,84.301969,84.654161
AT,Total,2000,78.251884,NA
AT,Total,2001,78.739008,NA
AT,Total,2002,78.853595,NA
AT,Total,2003,78.857686,NA
AT,Total,2004,79.370762,NA
AT,Total,2005,79.536074,NA
AT,Total,2006,79.977326,NA
AT,Total,2007,80.152216,NA
AT,Total,2008,80.369568,NA
AT,Total,2009,80.207842,NA
AT,Total,2010,80.461777,NA
AT,Total,2011,80.834137,NA
AT,Total,2012,80.857654,NA
AT,Total,2013,81.090183,NA
AT,Total,2014,81.414997,NA
AT,Total,2015,81.188113,NA
AT,Total,2016,81.598901,NA
AT,Total,2017,81.641975,NA
AT,Total,2018,81.70107,NA
AT,Total,2019,81.950755,NA
AT,Total,2020,81.377077,82.064847
AT,Total,2021,81.296849,82.199613
AT,Total,2022,81.449812,82.350072
AT,Total,2023,81.874584,82.479308
AT,Total,2024,82.120401,82.624287
BE,Male,2000,74.56405,NA
BE,Male,2001,74.916886,NA
BE,Male,2002,75.08903,NA
BE,Male,2003,75.361576,NA
BE,Male,2004,75.961924,NA
BE,Male,2005,76.142131,NA
BE,Male,2006,76.519736,NA
BE,Male,2007,76.739695,NA
BE,Male,2008,76.769109,NA
BE,Male,2009,77.151276,NA
BE,Male,2010,77.356757,NA
BE,Male,2011,77.751637,NA
BE,Male,2012,77.608883,NA
BE,Male,2013,77.917838,NA
BE,Male,2014,78.542892,NA
BE,Male,2015,78.531336,NA
BE,Male,2016,78.750149,NA
BE,Male,2017,78.954768,NA
BE,Male,2018,79.164353,NA
BE,Male,2019,79.555875,NA
BE,Male,2020,78.494707,79.81253
BE,Male,2021,79.208984,80.029151
BE,Male,2022,79.528302,80.256539
BE,Male,2023,79.986802,80.472441
BE,Male,2024,80.160206,80.715806
BE,Female,2000,80.910427,NA
BE,Female,2001,81.174899,NA
BE,Female,2002,81.198653,NA
BE,Female,2003,81.206984,NA
BE,Female,2004,81.86353,NA
BE,Female,2005,81.861868,NA
BE,Female,2006,82.148338,NA
BE,Female,2007,82.21295,NA
BE,Female,2008,82.316903,NA
BE,Female,2009,82.431925,NA
BE,Female,2010,82.635032,NA
BE,Female,2011,82.854773,NA
BE,Female,2012,82.816478,NA
BE,Female,2013,82.915404,NA
BE,Female,2014,83.500236,NA
BE,Female,2015,83.138381999999993,NA
BE,Female,2016,83.668723,NA
BE,Female,2017,83.642943,NA
BE,Female,2018,83.678947,NA
BE,Female,2019,83.990025,NA
BE,Female,2020,83.043047,84.136494
BE,Female,2021,84.011086,84.257818
BE,Female,2022,83.773991,84.39365
BE,Female,2023,84.103797,84.569862
BE,Female,2024,84.354208,84.684297
BE,Total,2000,77.77535,NA
BE,Total,2001,78.090837,NA
BE,Total,2002,78.183455,NA
BE,Total,2003,78.327386,NA
BE,Total,2004,78.964406,NA
BE,Total,2005,79.052789,NA
BE,Total,2006,79.388037,NA
BE,Total,2007,79.534425,NA
BE,Total,2008,79.587109,NA
BE,Total,2009,79.844275,NA
BE,Total,2010,80.044032,NA
BE,Total,2011,80.354786,NA
BE,Total,2012,80.247365,NA
BE,Total,2013,80.456527,NA
BE,Total,2014,81.06574,NA
BE,Total,2015,80.874752,NA
BE,Total,2016,81.241042,NA
BE,Total,2017,81.33658,NA
BE,Total,2018,81.459001,NA
BE,Total,2019,81.81215,NA
BE,Total,2020,80.772108,82.013079
BE,Total,2021,81.626694,82.182684
BE,Total,2022,81.678527,82.364049
BE,Total,2023,82.081437,82.558353
BE,Total,2024,82.286528,82.738216
BG,Male,2000,68.289618,NA
BG,Male,2001,68.507484,NA
BG,Male,2002,68.828066,NA
BG,Male,2003,68.924844,NA
BG,Male,2004,69.058882,NA
BG,Male,2005,69.049129,NA
BG,Male,2006,69.250377,NA
BG,Male,2007,69.532192,NA
BG,Male,2008,69.8213,NA
BG,Male,2009,70.17583,NA
BG,Male,2010,70.376481,NA
BG,Male,2011,70.724395,NA
BG,Male,2012,70.916857,NA
BG,Male,2013,71.291859,NA
BG,Male,2014,71.069504,NA
BG,Male,2015,71.234925,NA
BG,Male,2016,71.309326,NA
BG,Male,2017,71.374165,NA
BG,Male,2018,71.487951,NA
BG,Male,2019,71.578663,NA
BG,Male,2020,69.983522,71.690648
BG,Male,2021,68.038559,71.81503
BG,Male,2022,70.785889,71.905108
BG,Male,2023,72.4046,72.040594
BG,Male,2024,72.665323,72.166131
BG,Female,2000,74.994475,NA
BG,Female,2001,75.39886,NA
BG,Female,2002,75.575259,NA
BG,Female,2003,75.96073,NA
BG,Female,2004,76.244539,NA
BG,Female,2005,76.240779,NA
BG,Female,2006,76.298714,NA
BG,Female,2007,76.607177,NA
BG,Female,2008,76.97562,NA
BG,Female,2009,77.334972,NA
BG,Female,2010,77.337075,NA
BG,Female,2011,77.713728,NA
BG,Female,2012,77.861078,NA
BG,Female,2013,78.48396,NA
BG,Female,2014,77.97029,NA
BG,Female,2015,78.13031,NA
BG,Female,2016,78.470322,NA
BG,Female,2017,78.341703,NA
BG,Female,2018,78.486275,NA
BG,Female,2019,78.7238,NA
BG,Female,2020,77.480941,78.78016
BG,Female,2021,75.095233,78.926769
BG,Female,2022,78.008547,79.060962
BG,Female,2023,79.526999,79.203066
BG,Female,2024,79.552592,79.326419
BG,Total,2000,71.558281,NA
BG,Total,2001,71.866294,NA
BG,Total,2002,72.126259,NA
BG,Total,2003,72.356733,NA
BG,Total,2004,72.563798,NA
BG,Total,2005,72.553765,NA
BG,Total,2006,72.692534,NA
BG,Total,2007,72.992467,NA
BG,Total,2008,73.323338,NA
BG,Total,2009,73.686553,NA
BG,Total,2010,73.797923,NA
BG,Total,2011,74.160918,NA
BG,Total,2012,74.332776,NA
BG,Total,2013,74.828035,NA
BG,Total,2014,74.46528,NA
BG,Total,2015,74.628864,NA
BG,Total,2016,74.8265,NA
BG,Total,2017,74.80193,NA
BG,Total,2018,74.930595,NA
BG,Total,2019,75.084742,NA
BG,Total,2020,73.598922,75.175179
BG,Total,2021,71.40488,75.314973
BG,Total,2022,74.306815,75.428228
BG,Total,2023,75.922121,75.565506
BG,Total,2024,76.078399,75.686148
CH,Male,2000,76.918817,NA
CH,Male,2001,77.359403,NA
CH,Male,2002,77.732361,NA
CH,Male,2003,77.882692,NA
CH,Male,2004,78.437019,NA
CH,Male,2005,78.583777,NA
CH,Male,2006,79.04453,NA
CH,Male,2007,79.247749,NA
CH,Male,2008,79.57561,NA
CH,Male,2009,79.630854,NA
CH,Male,2010,80.029975,NA
CH,Male,2011,80.301692,NA
CH,Male,2012,80.456986,NA
CH,Male,2013,80.51678,NA
CH,Male,2014,80.928699,NA
CH,Male,2015,80.697194,NA
CH,Male,2016,81.539132,NA
CH,Male,2017,81.363157,NA
CH,Male,2018,81.652806,NA
CH,Male,2019,81.888292,NA
CH,Male,2020,81.000055,82.099183
CH,Male,2021,81.617703,82.307915
CH,Male,2022,81.62186,82.4925
CH,Male,2023,82.228751,82.701721
CH,Male,2024,82.443765,82.89229
CH,Female,2000,82.57043,NA
CH,Female,2001,82.978696,NA
CH,Female,2002,82.954399,NA
CH,Female,2003,82.992147,NA
CH,Female,2004,83.495304,NA
CH,Female,2005,83.701861,NA
CH,Female,2006,83.872677,NA
CH,Female,2007,83.973472,NA
CH,Female,2008,84.20445,NA
CH,Female,2009,84.21019,NA
CH,Female,2010,84.380645,NA
CH,Female,2011,84.711877,NA
CH,Female,2012,84.625668,NA
CH,Female,2013,84.75729,NA
CH,Female,2014,85.122351,NA
CH,Female,2015,84.897012,NA
CH,Female,2016,85.245734,NA
CH,Female,2017,85.378765,NA
CH,Female,2018,85.409023,NA
CH,Female,2019,85.605753000000007,NA
CH,Female,2020,85.105202,85.71937
CH,Female,2021,85.640807,85.830765
CH,Female,2022,85.398279,85.958229
CH,Female,2023,85.858028,86.108158
CH,Female,2024,85.946069,86.208671
CH,Total,2000,79.841795,NA
CH,Total,2001,80.269444,NA
CH,Total,2002,80.448406,NA
CH,Total,2003,80.536986,NA
CH,Total,2004,81.069774,NA
CH,Total,2005,81.241936,NA
CH,Total,2006,81.568955,NA
CH,Total,2007,81.71094,NA
CH,Total,2008,81.98804,NA
CH,Total,2009,82.007385,NA
CH,Total,2010,82.298436,NA
CH,Total,2011,82.598296,NA
CH,Total,2012,82.62386,NA
CH,Total,2013,82.711342,NA
CH,Total,2014,83.099861,NA
CH,Total,2015,82.856491,NA
CH,Total,2016,83.469948,NA
CH,Total,2017,83.428042,NA
CH,Total,2018,83.592224,NA
CH,Total,2019,83.802533,NA
CH,Total,2020,83.082462,83.964277
CH,Total,2021,83.666577,84.122526
CH,Total,2022,83.546425,84.274429
CH,Total,2023,84.084352,84.451675
CH,Total,2024,84.238367,84.594584
CL,Male,2000,73.63906,NA
CL,Male,2001,73.468876,NA
CL,Male,2002,73.960839000000007,NA
CL,Male,2003,74.091674,NA
CL,Male,2004,74.188381,NA
CL,Male,2005,74.620041,NA
CL,Male,2006,75.055403,NA
CL,Male,2007,74.533269,NA
CL,Male,2008,75.076404,NA
CL,Male,2009,75.220712,NA
CL,Male,2010,75.119167,NA
CL,Male,2011,75.832746,NA
CL,Male,2012,75.988285,NA
CL,Male,2013,76.081358,NA
CL,Male,2014,76.254094,NA
CL,Male,2015,76.491524,NA
CL,Male,2016,76.865018,NA
CL,Male,2017,77.086918,NA
CL,Male,2018,77.330118,NA
CL,Male,2019,77.349723,NA
CL,Male,2020,76.038349,77.571128
CL,Male,2021,75.406163,77.78151
CL,Male,2022,75.962558,77.980952
CL,Male,2023,77.617974,78.179182
CL,Male,2024,77.849496,78.367311
CL,Female,2000,79.894269,NA
CL,Female,2001,79.798747,NA
CL,Female,2002,80.317918,NA
CL,Female,2003,80.328471,NA
CL,Female,2004,80.339614,NA
CL,Female,2005,80.670615,NA
CL,Female,2006,80.987456,NA
CL,Female,2007,80.494637,NA
CL,Female,2008,81.093286,NA
CL,Female,2009,81.274872,NA
CL,Female,2010,80.896493,NA
CL,Female,2011,81.413046,NA
CL,Female,2012,81.288644,NA
CL,Female,2013,81.636003,NA
CL,Female,2014,81.716564,NA
CL,Female,2015,81.92309,NA
CL,Female,2016,82.11085,NA
CL,Female,2017,82.232208,NA
CL,Female,2018,82.50377,NA
CL,Female,2019,82.552161,NA
CL,Female,2020,81.777001,82.709985
CL,Female,2021,81.076836,82.841354
CL,Female,2022,81.415621,82.971368
CL,Female,2023,82.685205,83.098699
CL,Female,2024,82.412498,83.219398
CL,Total,2000,76.795659,NA
CL,Total,2001,76.647221,NA
CL,Total,2002,77.159173,NA
CL,Total,2003,77.218066,NA
CL,Total,2004,77.259905,NA
CL,Total,2005,77.642517,NA
CL,Total,2006,78.025745,NA
CL,Total,2007,77.490859,NA
CL,Total,2008,78.066988,NA
CL,Total,2009,78.220184,NA
CL,Total,2010,77.973987,NA
CL,Total,2011,78.603451,NA
CL,Total,2012,78.622092,NA
CL,Total,2013,78.829173,NA
CL,Total,2014,78.954838,NA
CL,Total,2015,79.175823,NA
CL,Total,2016,79.462636,NA
CL,Total,2017,79.63208,NA
CL,Total,2018,79.887019,NA
CL,Total,2019,79.916724,NA
CL,Total,2020,78.829051,80.107478
CL,Total,2021,78.160238,80.282097
CL,Total,2022,78.623562,80.447219
CL,Total,2023,80.118792,80.607059
CL,Total,2024,80.107142,80.756994
CZ,Male,2000,NA,NA
CZ,Male,2001,NA,NA
CZ,Male,2002,NA,NA
CZ,Male,2003,NA,NA
CZ,Male,2004,NA,NA
CZ,Male,2005,72.949144,NA
CZ,Male,2006,73.469383,NA
CZ,Male,2007,73.692679,NA
CZ,Male,2008,73.957751,NA
CZ,Male,2009,74.163291,NA
CZ,Male,2010,74.410303,NA
CZ,Male,2011,74.70902,NA
CZ,Male,2012,74.957863,NA
CZ,Male,2013,75.137524,NA
CZ,Male,2014,75.698513,NA
CZ,Male,2015,75.610966,NA
CZ,Male,2016,76.015694,NA
CZ,Male,2017,75.95669,NA
CZ,Male,2018,76.021825,NA
CZ,Male,2019,76.266959,NA
CZ,Male,2020,75.223469,76.461743
CZ,Male,2021,74.102124,76.665685
CZ,Male,2022,76.131293,76.847186
CZ,Male,2023,76.964104,77.017241
CZ,Male,2024,77.178881,77.197829
CZ,Female,2000,NA,NA
CZ,Female,2001,NA,NA
CZ,Female,2002,NA,NA
CZ,Female,2003,NA,NA
CZ,Female,2004,NA,NA
CZ,Female,2005,79.296968,NA
CZ,Female,2006,79.870945,NA
CZ,Female,2007,80.078991,NA
CZ,Female,2008,80.296809,NA
CZ,Female,2009,80.306322,NA
CZ,Female,2010,80.643694,NA
CZ,Female,2011,80.88004,NA
CZ,Female,2012,80.986202,NA
CZ,Female,2013,81.169346,NA
CZ,Female,2014,81.742194,NA
CZ,Female,2015,81.473355,NA
CZ,Female,2016,81.884424,NA
CZ,Female,2017,81.860729,NA
CZ,Female,2018,81.880707,NA
CZ,Female,2019,82.076215,NA
CZ,Female,2020,81.306657,82.324832
CZ,Female,2021,80.515754,82.509994
CZ,Female,2022,81.936924,82.640172
CZ,Female,2023,82.769624,82.781529
CZ,Female,2024,83.01928,82.907574
CZ,Total,2000,NA,NA
CZ,Total,2001,NA,NA
CZ,Total,2002,NA,NA
CZ,Total,2003,NA,NA
CZ,Total,2004,NA,NA
CZ,Total,2005,76.161043,NA
CZ,Total,2006,76.714205,NA
CZ,Total,2007,76.921313,NA
CZ,Total,2008,77.162046,NA
CZ,Total,2009,77.268489,NA
CZ,Total,2010,77.555714,NA
CZ,Total,2011,77.824258,NA
CZ,Total,2012,78.001846,NA
CZ,Total,2013,78.181819,NA
CZ,Total,2014,78.755104,NA
CZ,Total,2015,78.567417,NA
CZ,Total,2016,78.983645,NA
CZ,Total,2017,78.928381,NA
