region_iso,sex,year,e0_actual,model,e0_expected,e0_deficit
AT,Total,2000,78.251884,Lee-Carter,NA,NA
AT,Total,2000,78.251884,LE random walk with drift,NA,NA
AT,Total,2000,78.251884,ASDR random walk with drift,NA,NA
AT,Total,2001,78.739008,Lee-Carter,NA,NA
AT,Total,2001,78.739008,LE random walk with drift,NA,NA
AT,Total,2001,78.739008,ASDR random walk with drift,NA,NA
AT,Total,2002,78.853595,Lee-Carter,NA,NA
AT,Total,2002,78.853595,LE random walk with drift,NA,NA
AT,Total,2002,78.853595,ASDR random walk with drift,NA,NA
AT,Total,2003,78.857686,Lee-Carter,NA,NA
AT,Total,2003,78.857686,LE random walk with drift,NA,NA
AT,Total,2003,78.857686,ASDR random walk with drift,NA,NA
AT,Total,2004,79.370762,Lee-Carter,NA,NA
AT,Total,2004,79.370762,LE random walk with drift,NA,NA
AT,Total,2004,79.370762,ASDR random walk with drift,NA,NA
AT,Total,2005,79.536074,Lee-Carter,NA,NA
AT,Total,2005,79.536074,LE random walk with drift,NA,NA
AT,Total,2005,79.536074,ASDR random walk with drift,NA,NA
AT,Total,2006,79.977326,Lee-Carter,NA,NA
AT,Total,2006,79.977326,LE random walk with drift,NA,NA
AT,Total,2006,79.977326,ASDR random walk with drift,NA,NA
AT,Total,2007,80.152216,Lee-Carter,NA,NA
AT,Total,2007,80.152216,LE random walk with drift,NA,NA
AT,Total,2007,80.152216,ASDR random walk with drift,NA,NA
AT,Total,2008,80.369568,Lee-Carter,NA,NA
AT,Total,2008,80.369568,LE random walk with drift,NA,NA
AT,Total,2008,80.369568,ASDR random walk with drift,NA,NA
AT,Total,2009,80.207842,Lee-Carter,NA,NA
AT,Total,2009,80.207842,LE random walk with drift,NA,NA
AT,Total,2009,80.207842,ASDR random walk with drift,NA,NA
AT,Total,2010,80.461777,Lee-Carter,NA,NA
AT,Total,2010,80.461777,LE random walk with drift,NA,NA
AT,Total,2010,80.461777,ASDR random walk with drift,NA,NA
AT,Total,2011,80.834137,Lee-Carter,NA,NA
AT,Total,2011,80.834137,LE random walk with drift,NA,NA
AT,Total,2011,80.834137,ASDR random walk with drift,NA,NA
AT,Total,2012,80.857654,Lee-Carter,NA,NA
AT,Total,2012,80.857654,LE random walk with drift,NA,NA
AT,Total,2012,80.857654,ASDR random walk with drift,NA,NA
AT,Total,2013,81.090183,Lee-Carter,NA,NA
AT,Total,2013,81.090183,LE random walk with drift,NA,NA
AT,Total,2013,81.090183,ASDR random walk with drift,NA,NA
AT,Total,2014,81.414997,Lee-Carter,NA,NA
AT,Total,2014,81.414997,LE random walk with drift,NA,NA
AT,Total,2014,81.414997,ASDR random walk with drift,NA,NA
AT,Total,2015,81.188113,Lee-Carter,NA,NA
AT,Total,2015,81.188113,LE random walk with drift,NA,NA
AT,Total,2015,81.188113,ASDR random walk with drift,NA,NA
AT,Total,2016,81.598901,Lee-Carter,NA,NA
AT,Total,2016,81.598901,LE random walk with drift,NA,NA
AT,Total,2016,81.598901,ASDR random walk with drift,NA,NA
AT,Total,2017,81.641975,Lee-Carter,NA,NA
AT,Total,2017,81.641975,LE random walk with drift,NA,NA
AT,Total,2017,81.641975,ASDR random walk with drift,NA,NA
AT,Total,2018,81.70107,Lee-Carter,NA,NA
AT,Total,2018,81.70107,LE random walk with drift,NA,NA
AT,Total,2018,81.70107,ASDR random walk with drift,NA,NA
AT,Total,2019,81.950755,Lee-Carter,NA,NA
AT,Total,2019,81.950755,LE random walk with drift,NA,NA
AT,Total,2019,81.950755,ASDR random walk with drift,NA,NA
AT,Total,2020,81.377077,Lee-Carter,82.064847,-0.68777
AT,Total,2020,81.377077,LE random walk with drift,82.145433,-0.768356
AT,Total,2020,81.377077,ASDR random walk with drift,82.127817,-0.75074
AT,Total,2021,81.296849,Lee-Carter,82.199613,-0.902765
AT,Total,2021,81.296849,LE random walk with drift,82.34011,-1.043262
AT,Total,2021,81.296849,ASDR random walk with drift,82.303555,-1.006707
AT,Total,2022,81.449812,Lee-Carter,82.350072,-0.90026
AT,Total,2022,81.449812,LE random walk with drift,82.534788,-1.084975
AT,Total,2022,81.449812,ASDR random walk with drift,82.47771,-1.027898
AT,Total,2023,81.874584,Lee-Carter,82.479308,-0.604724
AT,Total,2023,81.874584,LE random walk with drift,82.729465,-0.854881
AT,Total,2023,81.874584,ASDR random walk with drift,82.650299,-0.775715
AT,Total,2024,82.120401,Lee-Carter,82.624287,-0.503887
AT,Total,2024,82.120401,LE random walk with drift,82.924143,-0.803742
AT,Total,2024,82.120401,ASDR random walk with drift,82.821338,-0.700937
BE,Total,2000,77.77535,Lee-Carter,NA,NA
BE,Total,2000,77.77535,LE random walk with drift,NA,NA
BE,Total,2000,77.77535,ASDR random walk with drift,NA,NA
BE,Total,2001,78.090837,Lee-Carter,NA,NA
BE,Total,2001,78.090837,LE random walk with drift,NA,NA
BE,Total,2001,78.090837,ASDR random walk with drift,NA,NA
BE,Total,2002,78.183455,Lee-Carter,NA,NA
BE,Total,2002,78.183455,LE random walk with drift,NA,NA
BE,Total,2002,78.183455,ASDR random walk with drift,NA,NA
BE,Total,2003,78.327386,Lee-Carter,NA,NA
BE,Total,2003,78.327386,LE random walk with drift,NA,NA
